profile,actor,DPS,increase,
Single,Theotar-SS_PF_Haste-HA_DE_RS,11426,19.02%,
Single,Theotar-SS_WP_PF_Haste-HA_RS,11358,18.31%,
Single,Theotar-SS_PF_Intellect-HA_DE_RS,11352,18.25%,
Single,Theotar-SS_RP_PF_Haste-HA_RS,11342,18.15%,
Single,Theotar-SS_PF_Versatility-HA_DE_RS,11321,17.93%,
Single,Nadjia-TS_DD_FaFl-HA_RS,11297,17.68%,
Single,Theotar-SS_PF_Crit-HA_DE_RS,11288,17.58%,
Single,Theotar-SS_WP_PF_Intellect-HA_RS,11273,17.43%,
Single,Theotar-SS_RP_PF_Intellect-HA_RS,11242,17.11%,
Single,Theotar-SS_WP_PF_Versatility-HA_RS,11242,17.11%,
Single,Theotar-SS_RP_PF_Versatility-HA_RS,11229,16.97%,
Single,Theotar-SS_WP_PF_Crit-HA_RS,11217,16.85%,
Single,Theotar-SS_RP_PF_Crit-HA_RS,11200,16.66%,
Single,Draven-BfW_BP-HA_RS,11170,16.35%,
Single,Nadjia-TS_FaFl-HA_DE_RS,11157,16.22%,
Single,Nadjia-TS_EP_FaFl-HA_RS,11091,15.53%,
Single,Theotar-SS_WP_PF_Haste-SWM-HA_SP,11043,15.03%,
Single,Theotar-SS_PF_Intellect-SWM-HA_DE_SP,11023,14.83%,
Single,Theotar-SS-HA_DE_RS,11017,14.76%,
Single,Theotar-SS_PF_Intellect-SWM-HA_DE_MD,11014,14.73%,
Single,Theotar-SS_RP_PF_Haste-SWM-HA_SP,11006,14.65%,
Single,Theotar-SS_PF_Versatility-SWM-HA_DE_SP,11000,14.59%,
Single,Theotar-SS_PF_Versatility-SWM-HA_DE_MD,10987,14.45%,
Single,Theotar-SS_WP_PF_Haste-HA_DE,10959,14.16%,
Single,Theotar-SS_WP-HA_RS,10947,14.03%,
Single,Theotar-SS_RP_PF_Haste-HA_DE,10947,14.03%,
Single,Theotar-SS_WP_PF_Intellect-SWM-HA_SP,10945,14.01%,
Single,Theotar-SS_PF_Crit-SWM-HA_DE_SP,10944,14.00%,
Single,Theotar-SS_PF_Crit-SWM-HA_DE_MD,10943,13.99%,
Single,Theotar-SS_WP_PF_Haste-SWM-HA_DE,10941,13.97%,
Single,Theotar-SS_RP-HA_RS,10926,13.82%,
Single,Nadjia-TS_DD_FaFl-HA_DE,10915,13.70%,
Single,Nadjia-TS_DD_FaFl-SWM-HA_SP,10915,13.69%,
Single,Theotar-SS_WP_PF_Versatility-SWM-HA_SP,10913,13.68%,
Single,Theotar-SS_RP_PF_Intellect-SWM-HA_SP,10912,13.67%,
Single,Theotar-SS_RP_PF_Haste-SWM-HA_DE,10905,13.60%,
Single,Theotar-SS_WP_PF_Intellect-HA_DE,10889,13.43%,
Single,Theotar-SS_RP_PF_Versatility-SWM-HA_SP,10882,13.36%,
Single,Theotar-SS_RP_PF_Intellect-HA_DE,10881,13.35%,
Single,Theotar-SS_WP_PF_Crit-SWM-HA_SP,10864,13.17%,
Single,Theotar-SS_WP_PF_Versatility-HA_DE,10860,13.13%,
Single,Theotar-SS_RP_PF_Versatility-HA_DE,10850,13.02%,
Single,Draven-BP-HA_DE_RS,10845,12.97%,
Single,Theotar-SS_WP_PF_Intellect-SWM-HA_DE,10837,12.88%,
Single,Theotar-SS_WP_PF_Crit-HA_DE,10833,12.84%,
Single,Theotar-SS_RP_PF_Crit-SWM-HA_SP,10831,12.82%,
Single,Draven-BfW_BP-SWM-HA_SP,10826,12.77%,
Single,Theotar-SS_RP_PF_Crit-HA_DE,10825,12.77%,
Single,Nadjia-TS_DD_FaFl-SWM-HA_DE,10821,12.72%,
Single,Nadjia-TS_FaFl-SWM-HA_DE_SP,10816,12.67%,
Single,Theotar-SS_WP_PF_Versatility-SWM-HA_DE,10814,12.65%,
Single,Theotar-SS_RP_PF_Intellect-SWM-HA_DE,10808,12.59%,
Single,Nadjia-TS_FaFl-SWM-HA_DE_MD,10803,12.54%,
Single,Draven-BfW_BP-HA_DE,10789,12.39%,
Single,Theotar-SS_RP_PF_Versatility-SWM-HA_DE,10786,12.36%,
Single,Theotar-SS_WP_PF_Crit-SWM-HA_DE,10769,12.18%,
Single,Theotar-SS_RP_PF_Crit-SWM-HA_DE,10742,11.90%,
Single,Nadjia-TS_EP_FaFl-SWM-HA_SP,10732,11.79%,
Single,Draven-BfW_BP-SWM-HA_DE,10729,11.76%,
Single,Nadjia-TS_EP_FaFl-HA_DE,10725,11.72%,
Single,Theotar-SS_PF_Haste-SWM-HA_DE_SP,10708,11.54%,
Single,Theotar-SS-SWM-HA_DE_SP,10706,11.53%,
Single,Theotar-SS-SWM-HA_DE_MD,10694,11.40%,
Single,Theotar-SS_PF_Haste-SWM-HA_DE_MD,10689,11.35%,
Single,Nadjia-TS_EP_FaFl-SWM-HA_DE,10640,10.84%,
Single,Theotar-SS_WP-SWM-HA_SP,10627,10.70%,
Single,Theotar-SS_RP-SWM-HA_SP,10594,10.36%,
Single,Theotar-SS_WP-HA_DE,10569,10.09%,
Single,Theotar-SS_RP-HA_DE,10556,9.96%,
Single,Draven-BP-SWM-HA_DE_SP,10538,9.77%,
Single,Theotar-SS_WP-SWM-HA_DE,10527,9.66%,
Single,Draven-BP-SWM-HA_DE_MD,10520,9.58%,
Single,Theotar-SS_RP-SWM-HA_DE,10500,9.38%,
Single,Base,9600,0.00%,
