profile,actor,DPS,increase,
Single,Bonesmith-FR-DE_HA,6860,10.33%,
Single,Emeni-LbE-DE_HA,6849,10.16%,
Single,Bonesmith-FR_HAMG-DE,6843,10.05%,
Single,Marileth-VS_Mastery-DE_HA,6768,8.85%,
Single,Marileth-VS_Magic-DE_HA,6760,8.73%,
Single,Marileth-VS_Crit-DE_HA,6757,8.67%,
Single,Marileth-VS_Intellect-DE_HA,6672,7.31%,
Single,Marileth-DE_HA,6670,7.28%,
Single,Bonesmith-FR_SS-DE,6668,7.25%,
Single,Emeni-LbE_GC-DE,6660,7.12%,
Single,Marileth-PPS_VS_Mastery-DE,6609,6.30%,
Single,Marileth-PPS_VS_Magic-DE,6599,6.13%,
Single,Marileth-PPS_VS_Crit-DE,6597,6.09%,
Single,Bonesmith-FR_SS_HAMG,6557,5.46%,
Single,Marileth-PPS-DE,6514,4.76%,
Single,Marileth-PPS_VS_Intellect-DE,6512,4.74%,
Single,Base,6218,0.00%,
