profile,actor,DPS,increase,
Single,Bonesmith-FR_HAMG-DE,6327,10.06%,
Single,Bonesmith-FR-DE_HA,6322,9.97%,
Single,Emeni-LbE-DE_HA,6257,8.84%,
Single,Marileth-VS_Mastery-DE_HA,6232,8.40%,
Single,Marileth-VS_Magic-DE_HA,6219,8.18%,
Single,Marileth-VS_Crit-DE_HA,6216,8.12%,
Single,Bonesmith-FR_SS-DE,6163,7.20%,
Single,Marileth-DE_HA,6143,6.87%,
Single,Marileth-VS_Intellect-DE_HA,6143,6.86%,
Single,Emeni-LbE_GC-DE,6101,6.13%,
Single,Marileth-PPS_VS_Mastery-DE,6099,6.09%,
Single,Marileth-PPS_VS_Magic-DE,6083,5.82%,
Single,Marileth-PPS_VS_Crit-DE,6083,5.81%,
Single,Bonesmith-FR_SS_HAMG,6067,5.54%,
Single,Marileth-PPS-DE,6009,4.53%,
Single,Marileth-PPS_VS_Intellect-DE,6007,4.50%,
Single,Base,5749,0.00%,
