profile,actor,DPS,increase,
Single,Forgelite-BCtA_SoS_EAA-Talbadars-HA_DE_CA,11286,19.30%,
Single,Forgelite-BCtA_SoS_EAA-HA_DE_CA,11285,19.29%,
Single,Pelagos-CM_BT_NR-Talbadars-HA_DE_CA,11268,19.11%,
Single,Pelagos-CM_BT_NR-HA_DE_CA,11258,19.01%,
Single,Forgelite-BCtA_SoS_EAA-HA_DE_MD,11196,18.35%,
Single,Forgelite-BCtA_SoS_EAA-Talbadars-HA_DE_MD,11193,18.32%,
Single,Pelagos-CM_BT_NR-Talbadars-HA_DE_MD,11156,17.93%,
Single,Pelagos-CM_BT_NR-HA_DE_MD,11155,17.91%,
Single,Forgelite-BCtA_SoS_EAA-Spheres-HA_DE_CA,11075,17.07%,
Single,Pelagos-CM_BT_NR-Spheres-HA_DE_CA,11028,16.57%,
Single,Forgelite-BCtA_HoG_SoS_EAA-Talbadars-HA_DE,10955,15.81%,
Single,Forgelite-BCtA_HoG_SoS_EAA-HA_DE,10950,15.75%,
Single,Kleia-VS_PoC_SotA_LtP-HA_DE,10945,15.70%,
Single,Kleia-VS_PoC_SotA_LtP-Talbadars-HA_DE,10942,15.67%,
Single,Forgelite-BCtA_SoS_EAA-Spheres-HA_DE_MD,10782,13.97%,
Single,Kleia-VS_SotA_LtP-HA_DE_CA,10741,13.54%,
Single,Kleia-VS_SotA_LtP-Talbadars-HA_DE_CA,10741,13.54%,
Single,Forgelite-BCtA_HoG_SoS_EAA-HA_RS,10725,13.37%,
Single,Pelagos-CM_BT_NR-Spheres-HA_DE_MD,10696,13.07%,
Single,Kleia-VS_PoC_SotA_LtP-HA_RS,10677,12.86%,
Single,Kleia-VS_SotA_LtP-Talbadars-HA_DE_MD,10656,12.64%,
Single,Kleia-VS_SotA_LtP-HA_DE_MD,10653,12.61%,
Single,Forgelite-BCtA_HoG_SoS_EAA-Spheres-HA_DE,10601,12.06%,
Single,Kleia-VS_PoC_SotA_LtP-Spheres-HA_DE,10421,10.16%,
Single,Kleia-VS_SotA_LtP-Spheres-HA_DE_CA,10401,9.95%,
Single,Kleia-VS_SotA_LtP-Spheres-HA_DE_MD,10105,6.81%,
Single,Base,9460,0.00%,
Single,Forgelite-BCtA_SoS_EAA-HA_DE_RS,0,-100.00%,
Single,Forgelite-BCtA_SoS_EAA-Spheres-HA_DE_RS,0,-100.00%,
Single,Forgelite-BCtA_SoS_EAA-Talbadars-HA_DE_RS,0,-100.00%,
Single,Kleia-VS_SotA_LtP-HA_DE_RS,0,-100.00%,
Single,Kleia-VS_SotA_LtP-Spheres-HA_DE_RS,0,-100.00%,
Single,Kleia-VS_SotA_LtP-Talbadars-HA_DE_RS,0,-100.00%,
Single,Pelagos-CM_BT_NR-HA_DE_RS,0,-100.00%,
Single,Pelagos-CM_BT_NR-Spheres-HA_DE_RS,0,-100.00%,
Single,Pelagos-CM_BT_NR-Talbadars-HA_DE_RS,0,-100.00%,
