profile,actor,DPS,increase,
Composite,FotM_ToF_AS_MB_HV-Shadowflame-DE_HA,7352,46.94%,
Composite,FotM_ToF_AS_MB_HV-Shadowflame-DE_RS,7257,45.04%,
Composite,FotM_ToF_AS_VT_HV-Talbadars-DE_HA,7181,43.52%,
Composite,FotM_ToF_SC_VT_HV-Talbadars-DE_HA,7133,42.56%,
Composite,FotM_ToF_PL_VT_HV-Talbadars-DE_HA,7074,41.38%,
Composite,FotM_ToF_AS_VT_HV-Talbadars-DE_MD,7066,41.22%,
Composite,FotM_ToF_SC_VT_HV-Talbadars-DE_MD,7066,41.21%,
Composite,FotM_SN_PL_MB_HV-Shadowflame-DE_HA,7060,41.11%,
Composite,DaM_SN_AS_MB_HV-Shadowflame-DE_HA,7035,40.60%,
Composite,FotM_ToF_PL_VT_HV-Talbadars-DE_MD,7034,40.59%,
Composite,FotM_SN_PL_MB_HV-Shadowflame-DE_RS,7025,40.39%,
Composite,DaM_SN_SC_MB_HV-Shadowflame-DE_HA,7020,40.29%,
Composite,FotM_ToF_AS_VT_HV-EcttV-DE_HA,7007,40.04%,
Composite,DaM_SN_SC_MB_HV-Shadowflame-DE_RS,6996,39.82%,
Composite,FotM_ToF_SC_VT_HV-EcttV-DE_HA,6981,39.53%,
Composite,DaM_SN_AS_MB_HV-Shadowflame-DE_RS,6960,39.10%,
Composite,FotM_ToF_AS_MB_AM-Shadowflame-DE_HA,6919,38.28%,
Composite,FotM_ToF_AS_MB_AM-Shadowflame-DE_RS,6881,37.52%,
Composite,FotM_SN_PL_MB_HV-Talbadars-DE_HA,6832,36.54%,
Composite,FotM_SN_PL_MB_HV-Talbadars-DE_MD,6811,36.12%,
Composite,FotM_ToF_AS_MB_STM-Shadowflame-DE_HA,6808,36.05%,
Composite,FotM_ToF_AS_VT_AM-Talbadars-DE_HA,6774,35.38%,
Composite,FotM_ToF_AS_MB_STM-Shadowflame-DE_RS,6756,35.02%,
Composite,DaM_SN_AS_MB_HV-Talbadars-DE_HA,6732,34.54%,
Composite,DaM_SN_SC_MB_HV-Talbadars-DE_HA,6705,34.00%,
Composite,DaM_SN_AS_MB_HV-EcttV-DE_HA,6702,33.95%,
Composite,FotM_ToF_AS_VT_AM-Talbadars-DE_MD,6685,33.60%,
Composite,FotM_ToF_PL_VT_AM-Talbadars-DE_HA,6684,33.58%,
Composite,DaM_SN_SC_MB_HV-EcttV-DE_HA,6680,33.50%,
Composite,FotM_SN_PL_MB_AM-Shadowflame-DE_RS,6673,33.37%,
Composite,FotM_SN_PL_MB_AM-Shadowflame-DE_HA,6670,33.30%,
Composite,FotM_ToF_AS_VT_STM-Talbadars-DE_HA,6666,33.22%,
Composite,DaM_SN_SC_MB_HV-Talbadars-DE_MD,6662,33.15%,
Composite,FotM_ToF_PL_VT_AM-Talbadars-DE_MD,6658,33.07%,
Composite,FotM_ToF_AS_VT_AM-EcttV-DE_HA,6652,32.94%,
Composite,DaM_SN_AS_MB_HV-Talbadars-DE_MD,6645,32.80%,
Composite,DaM_SN_SC_MB_AM-Shadowflame-DE_RS,6630,32.50%,
Composite,DaM_SN_AS_MB_AM-Shadowflame-DE_HA,6627,32.44%,
Composite,DaM_SN_SC_MB_AM-Shadowflame-DE_HA,6619,32.29%,
Composite,DaM_SN_AS_MB_AM-Shadowflame-DE_RS,6608,32.06%,
Composite,FotM_ToF_PL_VT_STM-Talbadars-DE_HA,6576,31.43%,
Composite,FotM_ToF_AS_VT_STM-Talbadars-DE_MD,6564,31.19%,
Composite,FotM_ToF_PL_VT_STM-Talbadars-DE_MD,6541,30.72%,
Composite,FotM_ToF_AS_VT_STM-EcttV-DE_HA,6534,30.59%,
Composite,FotM_SN_PL_MB_STM-Shadowflame-DE_HA,6533,30.56%,
Composite,FotM_SN_PL_MB_STM-Shadowflame-DE_RS,6530,30.51%,
Composite,DaM_SN_AS_MB_STM-Shadowflame-DE_HA,6508,30.07%,
Composite,DaM_SN_SC_MB_STM-Shadowflame-DE_HA,6499,29.89%,
Composite,DaM_SN_SC_MB_STM-Shadowflame-DE_RS,6496,29.83%,
Composite,DaM_SN_AS_MB_STM-Shadowflame-DE_RS,6465,29.22%,
Composite,FotM_SN_PL_MB_AM-Talbadars-DE_HA,6448,28.86%,
Composite,FotM_SN_PL_MB_AM-Talbadars-DE_MD,6445,28.82%,
Composite,DaM_SN_SC_MB_AM-EcttV-DE_HA,6351,26.94%,
Composite,DaM_SN_SC_MB_AM-Talbadars-DE_HA,6317,26.25%,
Composite,FotM_SN_PL_MB_STM-Talbadars-DE_MD,6315,26.22%,
Composite,DaM_SN_SC_MB_AM-Talbadars-DE_MD,6296,25.82%,
Composite,DaM_SN_SC_MB_STM-EcttV-DE_HA,6227,24.46%,
Composite,DaM_SN_SC_MB_STM-Talbadars-DE_MD,6182,23.55%,
Composite,DaM_SN_SC_MB_STM-Talbadars,5847,16.85%,
Composite,FotM_SN_PL_MB_STM-Talbadars,5842,16.76%,
Composite,DaM_SN_SC_MB_STM-Talbadars-DE_HA,5357,7.06%,
Composite,FotM_SN_PL_MB_STM-Talbadars-DE_HA,5357,7.06%,
Composite,Base,5004,0.00%,
