profile,actor,DPS,increase,
Single,FotM_ToF_AS_VT_HV,8880,29.23%,
Single,FotM_Mis_AS_VT_HV,8821,28.38%,
Single,FotM_ToF_SC_VT_HV,8748,27.31%,
Single,FotM_Mis_SC_VT_HV,8706,26.70%,
Single,FotM_ToF_AS_MB_HV,8690,26.47%,
Single,FotM_ToF_AS_VT_AM,8664,26.10%,
Single,FotM_SN_AS_VT_HV,8650,25.89%,
Single,UD_ToF_AS_VT_HV,8643,25.79%,
Single,FotM_Mis_AS_VT_AM,8640,25.74%,
Single,FotM_Mis_AS_MB_HV,8628,25.57%,
Single,UD_Mis_AS_VT_HV,8611,25.32%,
Single,FotM_ToF_PL_VT_HV,8591,25.04%,
Single,FotM_ToF_AS_DM_HV,8590,25.02%,
Single,FotM_ToF_SC_MB_HV,8588,24.99%,
Single,DaM_ToF_AS_VT_HV,8567,24.68%,
Single,FotM_ToF_SC_VT_AM,8552,24.47%,
Single,FotM_Mis_SC_VT_AM,8536,24.23%,
Single,FotM_Mis_SC_MB_HV,8533,24.18%,
Single,UD_ToF_SC_VT_HV,8529,24.14%,
Single,FotM_Mis_PL_VT_HV,8523,24.05%,
Single,FotM_ToF_AS_VT_STM,8518,23.97%,
Single,FotM_SN_SC_VT_HV,8516,23.94%,
Single,UD_Mis_SC_VT_HV,8506,23.79%,
Single,FotM_ToF_SC_DM_HV,8505,23.78%,
Single,DaM_Mis_AS_VT_HV,8492,23.59%,
Single,FotM_Mis_AS_VT_STM,8491,23.58%,
Single,FotM_ToF_AS_MB_AM,8481,23.44%,
Single,FotM_SN_AS_MB_HV,8477,23.38%,
Single,DaM_ToF_SC_VT_HV,8449,22.96%,
Single,FotM_Mis_AS_MB_AM,8448,22.96%,
Single,FotM_Mis_AS_DM_HV,8447,22.93%,
Single,FotM_SN_AS_VT_AM,8445,22.92%,
Single,UD_Mis_AS_VT_AM,8430,22.70%,
Single,UD_SN_AS_VT_HV,8417,22.50%,
Single,UD_ToF_AS_VT_AM,8415,22.47%,
Single,FotM_ToF_SC_VT_STM,8412,22.44%,
Single,UD_ToF_AS_MB_HV,8407,22.36%,
Single,DaM_Mis_SC_VT_HV,8400,22.26%,
Single,FotM_Mis_SC_VT_STM,8390,22.12%,
Single,FotM_ToF_PL_VT_AM,8386,22.05%,
Single,FotM_ToF_SC_MB_AM,8385,22.03%,
Single,UD_Mis_AS_MB_HV,8383,22.01%,
Single,FotM_ToF_PL_MB_HV,8377,21.92%,
Single,FotM_SN_SC_MB_HV,8374,21.88%,
Single,FotM_SN_AS_DM_HV,8370,21.82%,
Single,FotM_SN_PL_VT_HV,8367,21.78%,
Single,FotM_Mis_SC_MB_AM,8367,21.78%,
Single,FotM_Mis_SC_DM_HV,8365,21.74%,
Single,FotM_ToF_AS_DM_AM,8361,21.68%,
Single,FotM_Mis_PL_VT_AM,8358,21.65%,
Single,FotM_ToF_AS_MB_STM,8346,21.46%,
Single,DaM_SN_AS_VT_HV,8341,21.40%,
Single,DaM_ToF_AS_VT_AM,8340,21.38%,
Single,FotM_SN_SC_VT_AM,8333,21.28%,
Single,UD_ToF_PL_VT_HV,8332,21.26%,
Single,UD_ToF_SC_MB_HV,8324,21.15%,
Single,FotM_Mis_PL_MB_HV,8321,21.11%,
Single,UD_Mis_SC_VT_AM,8320,21.10%,
Single,UD_ToF_AS_DM_HV,8316,21.02%,
Single,DaM_ToF_AS_MB_HV,8314,21.01%,
Single,DaM_Mis_AS_VT_AM,8308,20.92%,
Single,FotM_ToF_SC_DM_AM,8307,20.91%,
Single,UD_SN_SC_VT_HV,8305,20.87%,
Single,UD_ToF_SC_VT_AM,8301,20.81%,
Single,FotM_SN_AS_VT_STM,8300,20.80%,
Single,UD_Mis_PL_VT_HV,8299,20.78%,
Single,FotM_Mis_AS_MB_STM,8297,20.76%,
Single,UD_Mis_SC_MB_HV,8297,20.75%,
