profile,actor,DPS,increase,
Composite,Titanic_Ocular_Gland_252-Shadowed_Orb_of_Torment_252,10681,17.33%,
Composite,Forbidden_Necromantic_Tome_259-Empyreal_Ordnance_252,10679,17.31%,
Composite,Soulletting_Ruby_252-Unbound_Changeling_Mastery_252,10674,17.25%,
Composite,Forbidden_Necromantic_Tome_259-Shadowed_Orb_of_Torment_252,10674,17.25%,
Composite,Empyreal_Ordnance_252-Unbound_Changeling_Mastery_252,10669,17.19%,
Composite,Titanic_Ocular_Gland_252-Empyreal_Ordnance_252,10658,17.08%,
Composite,Shadowed_Orb_of_Torment_252-Unbound_Changeling_Mastery_252,10648,16.96%,
Composite,Forbidden_Necromantic_Tome_259-Soulletting_Ruby_252,10645,16.93%,
Composite,Empyreal_Ordnance_252-Unbound_Changeling_Haste_252,10643,16.92%,
Composite,Titanic_Ocular_Gland_252-Soulletting_Ruby_252,10639,16.87%,
Composite,Shadowed_Orb_of_Torment_252-Unbound_Changeling_Haste_252,10638,16.86%,
Composite,Soulletting_Ruby_246-Unbound_Changeling_Mastery_252,10635,16.82%,
Composite,Empyreal_Ordnance_252-Unbound_Changeling_Mastery_246,10634,16.81%,
Composite,Soulletting_Ruby_252-Unbound_Changeling_Mastery_246,10633,16.81%,
Composite,Tome_of_Monstrous_Constructions_252-Empyreal_Ordnance_252,10631,16.78%,
Composite,Tome_of_Monstrous_Constructions_252-Shadowed_Orb_of_Torment_252,10629,16.76%,
Composite,Soulletting_Ruby_252-Unbound_Changeling_Haste_252,10625,16.72%,
Composite,Inscrutable_Quantum_Device_252-Unbound_Changeling_Mastery_252,10625,16.71%,
Composite,Titanic_Ocular_Gland_239-Empyreal_Ordnance_252,10620,16.66%,
Composite,Tome_of_Monstrous_Constructions_252-Soulletting_Ruby_252,10620,16.66%,
Composite,Forbidden_Necromantic_Tome_259-Empyreal_Ordnance_242,10617,16.63%,
Composite,Forbidden_Necromantic_Tome_246-Empyreal_Ordnance_252,10615,16.60%,
Composite,Forbidden_Necromantic_Tome_259-Soulletting_Ruby_246,10614,16.60%,
Composite,Shadowed_Orb_of_Torment_252-Unbound_Changeling_Mastery_246,10613,16.58%,
Composite,Titanic_Ocular_Gland_239-Shadowed_Orb_of_Torment_252,10612,16.57%,
Composite,Empyreal_Ordnance_252-Unbound_Changeling_Haste_246,10611,16.56%,
Composite,Titanic_Ocular_Gland_252-Soulletting_Ruby_246,10609,16.54%,
Composite,Forbidden_Necromantic_Tome_246-Shadowed_Orb_of_Torment_252,10606,16.50%,
Composite,Shadowed_Orb_of_Torment_252-Unbound_Changeling_Haste_246,10604,16.49%,
Composite,Forbidden_Necromantic_Tome_259-Inscrutable_Quantum_Device_252,10601,16.45%,
Composite,Empyreal_Ordnance_242-Unbound_Changeling_Mastery_252,10601,16.45%,
Composite,Titanic_Ocular_Gland_252-Shadowed_Orb_of_Torment_239,10599,16.43%,
Composite,Inscrutable_Quantum_Device_246-Unbound_Changeling_Mastery_252,10599,16.42%,
Composite,Soulletting_Ruby_246-Unbound_Changeling_Mastery_246,10598,16.42%,
Composite,Forbidden_Necromantic_Tome_259-Shadowed_Orb_of_Torment_239,10594,16.37%,
Composite,Soulletting_Ruby_246-Unbound_Changeling_Haste_252,10592,16.35%,
Composite,Titanic_Ocular_Gland_252-Empyreal_Ordnance_242,10590,16.34%,
Composite,Soulletting_Ruby_252-Unbound_Changeling_Haste_246,10589,16.32%,
Composite,Shadowed_Orb_of_Torment_252-Soulletting_Ruby_252,10587,16.30%,
Composite,Inscrutable_Quantum_Device_252-Unbound_Changeling_Mastery_246,10586,16.29%,
Composite,Tome_of_Monstrous_Constructions_252-Soulletting_Ruby_246,10585,16.28%,
Composite,Titanic_Ocular_Gland_252-Inscrutable_Quantum_Device_252,10584,16.26%,
Composite,Ebonsoul_Vise_252-Empyreal_Ordnance_252,10581,16.23%,
Composite,Forbidden_Necromantic_Tome_246-Soulletting_Ruby_252,10576,16.18%,
Composite,Forbidden_Necromantic_Tome_259-Inscrutable_Quantum_Device_246,10575,16.17%,
Composite,Empyreal_Ordnance_242-Unbound_Changeling_Haste_252,10575,16.17%,
Composite,Titanic_Ocular_Gland_239-Soulletting_Ruby_252,10573,16.14%,
Composite,Titanic_Ocular_Gland_252-Moonlit_Prism_246,10572,16.14%,
Composite,Shadowed_Orb_of_Torment_239-Unbound_Changeling_Mastery_252,10572,16.13%,
Composite,Tome_of_Monstrous_Constructions_252-Empyreal_Ordnance_242,10570,16.11%,
Composite,Unbound_Changeling_Mastery_252-Moonlit_Prism_246,10567,16.08%,
Composite,Empyreal_Ordnance_252-Inscrutable_Quantum_Device_252,10567,16.08%,
Composite,Empyreal_Ordnance_242-Unbound_Changeling_Mastery_246,10564,16.04%,
Composite,Shadowed_Orb_of_Torment_252-Soulletting_Ruby_246,10563,16.03%,
Composite,Tome_of_Monstrous_Constructions_252-Inscrutable_Quantum_Device_252,10563,16.03%,
Composite,Shadowed_Orb_of_Torment_239-Unbound_Changeling_Haste_252,10558,15.98%,
Composite,Forbidden_Necromantic_Tome_259-Moonlit_Prism_246,10558,15.98%,
Composite,Inscrutable_Quantum_Device_246-Unbound_Changeling_Mastery_246,10558,15.98%,
Composite,Shadowed_Orb_of_Torment_252-Inscrutable_Quantum_Device_252,10557,15.97%,
Composite,Tome_of_Monstrous_Constructions_252-Shadowed_Orb_of_Torment_239,10556,15.95%,
Composite,Titanic_Ocular_Gland_239-Empyreal_Ordnance_242,10554,15.93%,
Composite,Titanic_Ocular_Gland_252-Inscrutable_Quantum_Device_246,10554,15.93%,
Composite,Soulletting_Ruby_246-Unbound_Changeling_Haste_246,10551,15.90%,
Composite,Ebonsoul_Vise_252-Soulletting_Ruby_252,10550,15.89%,
Composite,Forbidden_Necromantic_Tome_259-Unbound_Changeling_Mastery_252,10549,15.88%,
Composite,Forbidden_Necromantic_Tome_246-Empyreal_Ordnance_242,10549,15.88%,
Composite,Forbidden_Necromantic_Tome_246-Soulletting_Ruby_246,10548,15.87%,
Composite,Shadowed_Orb_of_Torment_252-Ebonsoul_Vise_252,10547,15.86%,
Composite,Empyreal_Ordnance_242-Unbound_Changeling_Haste_246,10545,15.83%,
Composite,Tome_of_Monstrous_Constructions_239-Empyreal_Ordnance_252,10540,15.78%,
Composite,Titanic_Ocular_Gland_239-Soulletting_Ruby_246,10540,15.78%,
Composite,Titanic_Ocular_Gland_252-Unbound_Changeling_Mastery_252,10538,15.76%,
Composite,Shadowed_Orb_of_Torment_239-Unbound_Changeling_Mastery_246,10535,15.73%,
Composite,Titanic_Ocular_Gland_239-Shadowed_Orb_of_Torment_239,10533,15.70%,
Composite,Ebonsoul_Vise_252-Unbound_Changeling_Mastery_252,10533,15.70%,
Composite,Tome_of_Monstrous_Constructions_252-Moonlit_Prism_246,10531,15.69%,
Composite,Forbidden_Necromantic_Tome_246-Inscrutable_Quantum_Device_252,10531,15.68%,
Composite,Forbidden_Necromantic_Tome_259-Titanic_Ocular_Gland_252,10531,15.68%,
Composite,Shadowed_Orb_of_Torment_239-Unbound_Changeling_Haste_246,10531,15.68%,
Composite,Forbidden_Necromantic_Tome_259-Ebonsoul_Vise_252,10530,15.67%,
Composite,Tome_of_Monstrous_Constructions_252-Inscrutable_Quantum_Device_246,10530,15.67%,
Composite,Tome_of_Monstrous_Constructions_239-Shadowed_Orb_of_Torment_252,10530,15.67%,
Composite,Forbidden_Necromantic_Tome_246-Shadowed_Orb_of_Torment_239,10529,15.66%,
Composite,Empyreal_Ordnance_252-Inscrutable_Quantum_Device_246,10529,15.65%,
Composite,Tome_of_Monstrous_Constructions_239-Soulletting_Ruby_252,10527,15.64%,
Composite,Shadowed_Orb_of_Torment_252-Inscrutable_Quantum_Device_246,10527,15.63%,
Composite,Unbound_Changeling_Mastery_246-Moonlit_Prism_246,10527,15.63%,
Composite,Titanic_Ocular_Gland_252-Ebonsoul_Vise_252,10521,15.57%,
Composite,Titanic_Ocular_Gland_239-Inscrutable_Quantum_Device_252,10520,15.56%,
Composite,Unbound_Changeling_Haste_252-Moonlit_Prism_246,10518,15.53%,
Composite,Ebonsoul_Vise_252-Soulletting_Ruby_246,10517,15.53%,
Composite,Forbidden_Necromantic_Tome_259-Unbound_Changeling_Mastery_246,10515,15.50%,
Composite,Ebonsoul_Vise_252-Empyreal_Ordnance_242,10513,15.48%,
Composite,Forbidden_Necromantic_Tome_259-Unbound_Changeling_Haste_252,10511,15.47%,
Composite,Shadowed_Orb_of_Torment_239-Soulletting_Ruby_252,10511,15.46%,
Composite,Ebonsoul_Vise_252-Inscrutable_Quantum_Device_252,10510,15.45%,
Composite,Inscrutable_Quantum_Device_252-Unbound_Changeling_Haste_252,10508,15.43%,
Composite,Titanic_Ocular_Gland_239-Moonlit_Prism_246,10508,15.43%,
Composite,Shadowed_Orb_of_Torment_252-Empyreal_Ordnance_252,10508,15.42%,
Composite,Forbidden_Necromantic_Tome_259-Tome_of_Monstrous_Constructions_252,10506,15.41%,
Composite,Tome_of_Monstrous_Constructions_252-Unbound_Changeling_Mastery_252,10505,15.40%,
Composite,Forbidden_Necromantic_Tome_246-Inscrutable_Quantum_Device_246,10504,15.39%,
Composite,Empyreal_Ordnance_242-Inscrutable_Quantum_Device_252,10504,15.38%,
Composite,Titanic_Ocular_Gland_252-Unbound_Changeling_Mastery_246,10502,15.36%,
Composite,Ebonsoul_Vise_252-Unbound_Changeling_Haste_252,10496,15.29%,
Composite,Tome_of_Monstrous_Constructions_252-Titanic_Ocular_Gland_252,10495,15.28%,
Composite,Ebonsoul_Vise_239-Empyreal_Ordnance_252,10493,15.27%,
Composite,Tome_of_Monstrous_Constructions_239-Soulletting_Ruby_246,10493,15.27%,
Composite,Titanic_Ocular_Gland_239-Inscrutable_Quantum_Device_246,10491,15.24%,
Composite,Ebonsoul_Vise_252-Unbound_Changeling_Mastery_246,10489,15.22%,
Composite,Forbidden_Necromantic_Tome_246-Moonlit_Prism_246,10489,15.22%,
Composite,Titanic_Ocular_Gland_252-Unbound_Changeling_Haste_252,10486,15.18%,
Composite,Tome_of_Monstrous_Constructions_252-Ebonsoul_Vise_252,10485,15.18%,
Composite,Forbidden_Necromantic_Tome_246-Unbound_Changeling_Mastery_252,10485,15.18%,
Composite,Unbound_Changeling_Haste_246-Moonlit_Prism_246,10485,15.17%,
Composite,Ebonsoul_Vise_252-Inscrutable_Quantum_Device_246,10484,15.16%,
Composite,Shadowed_Orb_of_Torment_239-Soulletting_Ruby_246,10482,15.15%,
Composite,Shadowed_Orb_of_Torment_239-Inscrutable_Quantum_Device_252,10481,15.13%,
Composite,Shadowed_Orb_of_Torment_239-Ebonsoul_Vise_252,10477,15.09%,
Composite,Inscrutable_Quantum_Device_246-Unbound_Changeling_Haste_252,10476,15.07%,
Composite,Forbidden_Necromantic_Tome_259-Unbound_Changeling_Haste_246,10474,15.06%,
Composite,Tome_of_Monstrous_Constructions_239-Empyreal_Ordnance_242,10471,15.03%,
Composite,Titanic_Ocular_Gland_239-Unbound_Changeling_Mastery_252,10471,15.02%,
Composite,Inscrutable_Quantum_Device_252-Unbound_Changeling_Haste_246,10471,15.02%,
Composite,Tome_of_Monstrous_Constructions_252-Unbound_Changeling_Mastery_246,10470,15.01%,
Composite,Tome_of_Monstrous_Constructions_239-Inscrutable_Quantum_Device_252,10469,15.00%,
