profile,actor,DPS,increase,
Composite,Soulletting_Ruby_252-Tome_of_Insight_233,9496,20.85%,
Composite,Empyreal_Ordnance_252-Tome_of_Insight_233,9449,20.24%,
Composite,Forbidden_Necromantic_Tome_259-Soulletting_Ruby_252,9427,19.97%,
Composite,Soulletting_Ruby_236-Tome_of_Insight_233,9412,19.78%,
Composite,Inscrutable_Quantum_Device_252-Tome_of_Insight_233,9404,19.68%,
Composite,Titanic_Ocular_Gland_252-Soulletting_Ruby_252,9400,19.62%,
Composite,Forbidden_Necromantic_Tome_259-Tome_of_Insight_233,9383,19.40%,
Composite,Tome_of_Monstrous_Constructions_252-Soulletting_Ruby_252,9370,19.25%,
Composite,Titanic_Ocular_Gland_252-Tome_of_Insight_233,9369,19.22%,
Composite,Forbidden_Necromantic_Tome_259-Empyreal_Ordnance_252,9360,19.12%,
Composite,Forbidden_Necromantic_Tome_246-Soulletting_Ruby_252,9357,19.08%,
Composite,Cabalists_Hymnal_Allies_4_233-Soulletting_Ruby_252,9351,19.00%,
Composite,Empyreal_Ordnance_236-Tome_of_Insight_233,9348,18.96%,
Composite,Forbidden_Necromantic_Tome_259-Soulletting_Ruby_236,9342,18.89%,
Composite,Cabalists_Hymnal_Allies_3_233-Soulletting_Ruby_252,9341,18.87%,
Composite,Titanic_Ocular_Gland_239-Soulletting_Ruby_252,9336,18.81%,
Composite,Cabalists_Hymnal_Allies_2_233-Soulletting_Ruby_252,9325,18.67%,
Composite,Tome_of_Monstrous_Constructions_252-Tome_of_Insight_233,9325,18.66%,
Composite,Titanic_Ocular_Gland_252-Empyreal_Ordnance_252,9318,18.58%,
Composite,Empyreal_Ordnance_252-Soulletting_Ruby_252,9316,18.56%,
Composite,Forbidden_Necromantic_Tome_246-Tome_of_Insight_233,9314,18.53%,
Composite,Forbidden_Necromantic_Tome_259-Inscrutable_Quantum_Device_252,9314,18.53%,
Composite,Inscrutable_Quantum_Device_236-Tome_of_Insight_233,9313,18.52%,
Composite,Cabalists_Hymnal_Allies_1_233-Soulletting_Ruby_252,9313,18.52%,
Composite,Titanic_Ocular_Gland_252-Soulletting_Ruby_236,9312,18.50%,
Composite,Cabalists_Hymnal_Allies_4_233-Tome_of_Insight_233,9305,18.41%,
Composite,Titanic_Ocular_Gland_239-Tome_of_Insight_233,9304,18.40%,
Composite,Cabalists_Hymnal_Allies_4_233-Empyreal_Ordnance_252,9303,18.39%,
Composite,Cabalists_Hymnal_Allies_0_233-Soulletting_Ruby_252,9298,18.33%,
Composite,Forbidden_Necromantic_Tome_246-Empyreal_Ordnance_252,9296,18.30%,
Composite,Cabalists_Hymnal_Allies_3_233-Tome_of_Insight_233,9290,18.23%,
Composite,Cabalists_Hymnal_Allies_3_233-Empyreal_Ordnance_252,9290,18.22%,
Composite,Tome_of_Monstrous_Constructions_252-Soulletting_Ruby_236,9283,18.13%,
Composite,Tome_of_Monstrous_Constructions_252-Empyreal_Ordnance_252,9281,18.11%,
Composite,Forbidden_Necromantic_Tome_259-Titanic_Ocular_Gland_252,9280,18.09%,
Composite,Ebonsoul_Vise_252-Tome_of_Insight_233,9278,18.07%,
Composite,Cabalists_Hymnal_Allies_2_233-Tome_of_Insight_233,9278,18.07%,
Composite,Tome_of_Monstrous_Constructions_239-Soulletting_Ruby_252,9277,18.06%,
Composite,Cabalists_Hymnal_Allies_2_233-Empyreal_Ordnance_252,9273,18.01%,
Composite,Forbidden_Necromantic_Tome_246-Soulletting_Ruby_236,9270,17.97%,
Composite,Forbidden_Necromantic_Tome_259-Empyreal_Ordnance_236,9269,17.96%,
Composite,Cabalists_Hymnal_Allies_4_233-Soulletting_Ruby_236,9266,17.91%,
Composite,Cabalists_Hymnal_Allies_1_233-Tome_of_Insight_233,9265,17.91%,
Composite,Cabalists_Hymnal_Allies_1_233-Empyreal_Ordnance_252,9262,17.86%,
Composite,Titanic_Ocular_Gland_252-Inscrutable_Quantum_Device_252,9260,17.84%,
Composite,Titanic_Ocular_Gland_239-Empyreal_Ordnance_252,9259,17.83%,
Composite,Cabalists_Hymnal_Allies_3_233-Soulletting_Ruby_236,9253,17.75%,
Composite,Cabalists_Hymnal_Allies_4_233-Inscrutable_Quantum_Device_252,9252,17.75%,
Composite,Cabalists_Hymnal_Allies_0_233-Tome_of_Insight_233,9252,17.74%,
Composite,Titanic_Ocular_Gland_239-Soulletting_Ruby_236,9248,17.69%,
Composite,Cabalists_Hymnal_Allies_0_233-Empyreal_Ordnance_252,9247,17.68%,
Composite,Forbidden_Necromantic_Tome_246-Inscrutable_Quantum_Device_252,9247,17.67%,
Composite,Forbidden_Necromantic_Tome_259-Tome_of_Monstrous_Constructions_252,9243,17.62%,
Composite,Tome_of_Monstrous_Constructions_252-Inscrutable_Quantum_Device_252,9242,17.61%,
Composite,Ebonsoul_Vise_252-Soulletting_Ruby_252,9242,17.61%,
Composite,Ebonsoul_Vise_252-Empyreal_Ordnance_252,9241,17.60%,
Composite,Empyreal_Ordnance_252-Soulletting_Ruby_236,9240,17.59%,
Composite,Cabalists_Hymnal_Allies_2_233-Soulletting_Ruby_236,9239,17.58%,
Composite,Cabalists_Hymnal_Allies_3_233-Inscrutable_Quantum_Device_252,9236,17.54%,
Composite,Tome_of_Monstrous_Constructions_239-Tome_of_Insight_233,9234,17.51%,
Composite,Forbidden_Necromantic_Tome_259-Cabalists_Hymnal_Allies_4_233,9231,17.48%,
Composite,Cabalists_Hymnal_Allies_1_233-Soulletting_Ruby_236,9227,17.42%,
Composite,Titanic_Ocular_Gland_252-Empyreal_Ordnance_236,9227,17.42%,
Composite,Cabalists_Hymnal_Allies_2_233-Inscrutable_Quantum_Device_252,9225,17.40%,
Composite,Empyreal_Ordnance_236-Soulletting_Ruby_252,9225,17.39%,
Composite,Forbidden_Necromantic_Tome_259-Inscrutable_Quantum_Device_236,9222,17.36%,
Composite,Empyreal_Ordnance_252-Inscrutable_Quantum_Device_252,9220,17.34%,
Composite,Forbidden_Necromantic_Tome_259-Cabalists_Hymnal_Allies_3_233,9219,17.32%,
Composite,Forbidden_Necromantic_Tome_259-Titanic_Ocular_Gland_239,9219,17.31%,
Composite,Cabalists_Hymnal_Allies_0_233-Soulletting_Ruby_236,9213,17.24%,
Composite,Cabalists_Hymnal_Allies_1_233-Inscrutable_Quantum_Device_252,9210,17.20%,
Composite,Forbidden_Necromantic_Tome_246-Titanic_Ocular_Gland_252,9209,17.20%,
