profile,actor,DPS,increase,
Composite,Titanic_Ocular_Gland_252-Soulletting_Ruby_252,12093,19.87%,
Composite,Forbidden_Necromantic_Tome_259-Soulletting_Ruby_252,12086,19.81%,
Composite,Soulletting_Ruby_252-Unbound_Changeling_Mastery_252,12071,19.65%,
Composite,Soulletting_Ruby_252-Unbound_Changeling_Haste_252,12057,19.52%,
Composite,Titanic_Ocular_Gland_252-Soulletting_Ruby_246,12049,19.44%,
Composite,Forbidden_Necromantic_Tome_259-Soulletting_Ruby_246,12039,19.34%,
Composite,Soulletting_Ruby_252-Unbound_Changeling_Mastery_246,12028,19.23%,
Composite,Soulletting_Ruby_246-Unbound_Changeling_Mastery_252,12026,19.21%,
Composite,Tome_of_Monstrous_Constructions_252-Soulletting_Ruby_252,12021,19.16%,
Composite,Soulletting_Ruby_252-Unbound_Changeling_Haste_246,12019,19.14%,
Composite,Titanic_Ocular_Gland_239-Soulletting_Ruby_252,12016,19.12%,
Composite,Soulletting_Ruby_246-Unbound_Changeling_Haste_252,12014,19.09%,
Composite,Forbidden_Necromantic_Tome_246-Soulletting_Ruby_252,12010,19.05%,
Composite,Soulletting_Ruby_246-Unbound_Changeling_Mastery_246,11982,18.78%,
Composite,Tome_of_Monstrous_Constructions_252-Soulletting_Ruby_246,11977,18.73%,
Composite,Soulletting_Ruby_246-Unbound_Changeling_Haste_246,11974,18.70%,
Composite,Titanic_Ocular_Gland_239-Soulletting_Ruby_246,11967,18.62%,
Composite,Forbidden_Necromantic_Tome_246-Soulletting_Ruby_246,11963,18.59%,
Composite,Forbidden_Necromantic_Tome_259-Shadowed_Orb_of_Torment_252,11930,18.25%,
Composite,Tome_of_Monstrous_Constructions_239-Soulletting_Ruby_252,11917,18.13%,
Composite,Titanic_Ocular_Gland_252-Shadowed_Orb_of_Torment_252,11906,18.02%,
Composite,Forbidden_Necromantic_Tome_259-Moonlit_Prism_246,11890,17.87%,
Composite,Titanic_Ocular_Gland_252-Moonlit_Prism_246,11880,17.76%,
Composite,Shadowed_Orb_of_Torment_252-Unbound_Changeling_Haste_252,11879,17.75%,
Composite,Tome_of_Monstrous_Constructions_239-Soulletting_Ruby_246,11870,17.67%,
Composite,Shadowed_Orb_of_Torment_252-Unbound_Changeling_Mastery_252,11853,17.50%,
