profile,actor,DPS,increase,
Dungeons,The_First_Sigil_278-Scars_of_Fraternal_Strife_285,13579,22.55%,
Dungeons,Soulletting_Ruby_278-The_First_Sigil_278,13578,22.55%,
Dungeons,Unbound_Changeling_Mastery_278-The_First_Sigil_278,13548,22.27%,
Dungeons,Inscrutable_Quantum_Device_278-The_First_Sigil_278,13545,22.25%,
Dungeons,The_First_Sigil_278-Scars_of_Fraternal_Strife_272,13495,21.80%,
Dungeons,Unbound_Changeling_Haste_278-The_First_Sigil_278,13478,21.64%,
Dungeons,Soulletting_Ruby_278-The_First_Sigil_265,13467,21.54%,
Dungeons,Soulletting_Ruby_262-The_First_Sigil_278,13465,21.53%,
Dungeons,The_First_Sigil_265-Scars_of_Fraternal_Strife_285,13463,21.51%,
Dungeons,Unbound_Changeling_Mastery_278-The_First_Sigil_265,13446,21.35%,
Dungeons,Inscrutable_Quantum_Device_278-The_First_Sigil_265,13433,21.24%,
Dungeons,Inscrutable_Quantum_Device_262-The_First_Sigil_278,13426,21.17%,
Dungeons,Empyreal_Ordnance_278-The_First_Sigil_278,13403,20.97%,
Dungeons,Unbound_Changeling_Mastery_262-The_First_Sigil_278,13394,20.88%,
Dungeons,Shadowed_Orb_of_Torment_252-The_First_Sigil_278,13389,20.84%,
Dungeons,Unbound_Changeling_Haste_278-The_First_Sigil_265,13376,20.72%,
Dungeons,The_First_Sigil_265-Scars_of_Fraternal_Strife_272,13375,20.71%,
Dungeons,Soulletting_Ruby_278-Scars_of_Fraternal_Strife_285,13366,20.63%,
Dungeons,Unbound_Changeling_Mastery_278-Scars_of_Fraternal_Strife_285,13366,20.63%,
Dungeons,Soulletting_Ruby_278-Unbound_Changeling_Mastery_278,13349,20.48%,
Dungeons,Unbound_Changeling_Haste_262-The_First_Sigil_278,13343,20.42%,
Dungeons,Soulletting_Ruby_262-The_First_Sigil_265,13332,20.32%,
Dungeons,Inscrutable_Quantum_Device_278-Scars_of_Fraternal_Strife_285,13321,20.23%,
Dungeons,Inscrutable_Quantum_Device_262-The_First_Sigil_265,13319,20.21%,
Dungeons,Titanic_Ocular_Gland_252-The_First_Sigil_278,13314,20.16%,
Dungeons,Inscrutable_Quantum_Device_278-Unbound_Changeling_Mastery_278,13299,20.03%,
Dungeons,Empyreal_Ordnance_262-The_First_Sigil_278,13294,19.98%,
Dungeons,Empyreal_Ordnance_278-The_First_Sigil_265,13285,19.90%,
Dungeons,Unbound_Changeling_Haste_278-Scars_of_Fraternal_Strife_285,13285,19.90%,
Dungeons,Soulletting_Ruby_278-Scars_of_Fraternal_Strife_272,13280,19.86%,
Dungeons,Soulletting_Ruby_278-Unbound_Changeling_Haste_278,13280,19.86%,
Dungeons,Unbound_Changeling_Mastery_262-The_First_Sigil_265,13278,19.84%,
Dungeons,Forbidden_Necromantic_Tome_259-The_First_Sigil_278,13276,19.82%,
Dungeons,Unbound_Changeling_Mastery_278-Scars_of_Fraternal_Strife_272,13269,19.76%,
Dungeons,Shadowed_Orb_of_Torment_252-The_First_Sigil_265,13249,19.58%,
Dungeons,Inscrutable_Quantum_Device_278-Scars_of_Fraternal_Strife_272,13243,19.52%,
Dungeons,Inscrutable_Quantum_Device_278-Unbound_Changeling_Haste_278,13235,19.45%,
Dungeons,Soulletting_Ruby_262-Scars_of_Fraternal_Strife_285,13229,19.40%,
Dungeons,Unbound_Changeling_Haste_262-The_First_Sigil_265,13223,19.34%,
Dungeons,Unbound_Changeling_Mastery_262-Scars_of_Fraternal_Strife_285,13215,19.27%,
Dungeons,Soulletting_Ruby_262-Unbound_Changeling_Mastery_278,13210,19.22%,
Dungeons,Unbound_Changeling_Haste_278-Scars_of_Fraternal_Strife_272,13205,19.18%,
Dungeons,Titanic_Ocular_Gland_252-The_First_Sigil_265,13193,19.07%,
Dungeons,Inscrutable_Quantum_Device_262-Scars_of_Fraternal_Strife_285,13190,19.04%,
Dungeons,Soulletting_Ruby_278-Unbound_Changeling_Mastery_262,13186,19.01%,
Dungeons,Empyreal_Ordnance_262-The_First_Sigil_265,13182,18.97%,
Dungeons,Inscrutable_Quantum_Device_262-Unbound_Changeling_Mastery_278,13171,18.87%,
Dungeons,Forbidden_Necromantic_Tome_259-The_First_Sigil_265,13169,18.85%,
Dungeons,Soulletting_Ruby_262-Scars_of_Fraternal_Strife_272,13157,18.75%,
Dungeons,Inscrutable_Quantum_Device_278-Unbound_Changeling_Mastery_262,13151,18.69%,
Dungeons,Shadowed_Orb_of_Torment_252-Scars_of_Fraternal_Strife_285,13144,18.63%,
Dungeons,Soulletting_Ruby_262-Unbound_Changeling_Haste_278,13143,18.62%,
Dungeons,Unbound_Changeling_Haste_262-Scars_of_Fraternal_Strife_285,13141,18.60%,
Dungeons,Empyreal_Ordnance_278-Scars_of_Fraternal_Strife_285,13140,18.59%,
Dungeons,Unbound_Changeling_Mastery_262-Scars_of_Fraternal_Strife_272,13129,18.49%,
Dungeons,Soulletting_Ruby_278-Unbound_Changeling_Haste_262,13127,18.47%,
Dungeons,Inscrutable_Quantum_Device_262-Scars_of_Fraternal_Strife_272,13121,18.42%,
Dungeons,Titanic_Ocular_Gland_252-Scars_of_Fraternal_Strife_285,13118,18.39%,
Dungeons,Empyreal_Ordnance_278-Unbound_Changeling_Mastery_278,13116,18.38%,
Dungeons,Titanic_Ocular_Gland_252-Unbound_Changeling_Mastery_278,13111,18.33%,
Dungeons,Inscrutable_Quantum_Device_262-Unbound_Changeling_Haste_278,13109,18.31%,
Dungeons,Titanic_Ocular_Gland_252-Soulletting_Ruby_278,13095,18.19%,
Dungeons,The_First_Sigil_278-Grim_Eclipse_285,13092,18.16%,
Dungeons,Forbidden_Necromantic_Tome_259-Unbound_Changeling_Mastery_278,13080,18.05%,
Dungeons,Empyreal_Ordnance_278-Unbound_Changeling_Haste_278,13078,18.03%,
Dungeons,Shadowed_Orb_of_Torment_252-Unbound_Changeling_Mastery_278,13077,18.02%,
Dungeons,Soulletting_Ruby_262-Unbound_Changeling_Mastery_262,13076,18.01%,
Dungeons,Inscrutable_Quantum_Device_278-Unbound_Changeling_Haste_262,13075,18.01%,
Dungeons,Forbidden_Necromantic_Tome_259-Scars_of_Fraternal_Strife_285,13074,18.00%,
Dungeons,Shadowed_Orb_of_Torment_252-Scars_of_Fraternal_Strife_272,13069,17.95%,
Dungeons,Unbound_Changeling_Haste_262-Scars_of_Fraternal_Strife_272,13067,17.93%,
Dungeons,Shadowed_Orb_of_Torment_252-Unbound_Changeling_Haste_278,13066,17.92%,
Dungeons,Forbidden_Necromantic_Tome_259-Soulletting_Ruby_278,13057,17.84%,
Dungeons,Resonant_Reservoir_278-The_First_Sigil_278,13052,17.80%,
Dungeons,Titanic_Ocular_Gland_252-Inscrutable_Quantum_Device_278,13052,17.80%,
Dungeons,Empyreal_Ordnance_278-Scars_of_Fraternal_Strife_272,13045,17.73%,
Dungeons,The_First_Sigil_278-Architects_Ingenuity_Core_278,13045,17.73%,
Dungeons,Inscrutable_Quantum_Device_262-Unbound_Changeling_Mastery_262,13036,17.65%,
Dungeons,Forbidden_Necromantic_Tome_259-Inscrutable_Quantum_Device_278,13034,17.64%,
Dungeons,Titanic_Ocular_Gland_252-Scars_of_Fraternal_Strife_272,13031,17.61%,
Dungeons,Elegy_of_the_Eternals_278-The_First_Sigil_278,13027,17.57%,
Dungeons,Empyreal_Ordnance_262-Scars_of_Fraternal_Strife_285,13026,17.56%,
Dungeons,Soulletting_Ruby_262-Unbound_Changeling_Haste_262,13024,17.55%,
Dungeons,Inscrutable_Quantum_Device_278-Soulletting_Ruby_278,13021,17.52%,
Dungeons,Titanic_Ocular_Gland_252-Unbound_Changeling_Haste_278,13016,17.47%,
Dungeons,Forbidden_Necromantic_Tome_259-Unbound_Changeling_Haste_278,13014,17.45%,
Dungeons,Empyreal_Ordnance_262-Unbound_Changeling_Mastery_278,13011,17.43%,
Dungeons,Forbidden_Necromantic_Tome_259-Scars_of_Fraternal_Strife_272,13007,17.39%,
Dungeons,The_First_Sigil_278-Grim_Eclipse_272,13001,17.34%,
Dungeons,The_First_Sigil_265-Grim_Eclipse_285,12994,17.27%,
Dungeons,Shadowed_Orb_of_Torment_252-Soulletting_Ruby_278,12987,17.21%,
Dungeons,Titanic_Ocular_Gland_252-Soulletting_Ruby_262,12984,17.18%,
Dungeons,Empyreal_Ordnance_262-Unbound_Changeling_Haste_278,12973,17.08%,
Dungeons,Elegy_of_the_Eternals_265-The_First_Sigil_278,12972,17.08%,
Dungeons,Empyreal_Ordnance_278-Unbound_Changeling_Mastery_262,12967,17.03%,
Dungeons,Inscrutable_Quantum_Device_262-Unbound_Changeling_Haste_262,12965,17.01%,
Dungeons,Resonant_Reservoir_265-The_First_Sigil_278,12961,16.98%,
Dungeons,Empyreal_Ordnance_278-Unbound_Changeling_Haste_262,12954,16.91%,
Dungeons,Empyreal_Ordnance_262-Scars_of_Fraternal_Strife_272,12951,16.89%,
Dungeons,Titanic_Ocular_Gland_252-Unbound_Changeling_Mastery_262,12951,16.89%,
Dungeons,Forbidden_Necromantic_Tome_259-Soulletting_Ruby_262,12946,16.84%,
Dungeons,The_First_Sigil_278-Architects_Ingenuity_Core_265,12945,16.83%,
Dungeons,Titanic_Ocular_Gland_252-Inscrutable_Quantum_Device_262,12937,16.76%,
Dungeons,Empyreal_Ordnance_278-Inscrutable_Quantum_Device_278,12936,16.75%,
Dungeons,Resonant_Reservoir_278-The_First_Sigil_265,12935,16.74%,
Dungeons,Shadowed_Orb_of_Torment_252-Unbound_Changeling_Haste_262,12934,16.73%,
Dungeons,The_First_Sigil_265-Architects_Ingenuity_Core_278,12934,16.73%,
Dungeons,Elegy_of_the_Eternals_278-The_First_Sigil_265,12927,16.67%,
Dungeons,Titanic_Ocular_Gland_252-Empyreal_Ordnance_278,12927,16.67%,
Dungeons,Shadowed_Orb_of_Torment_252-Unbound_Changeling_Mastery_262,12923,16.63%,
Dungeons,Forbidden_Necromantic_Tome_259-Inscrutable_Quantum_Device_262,12922,16.62%,
Dungeons,Grim_Eclipse_285-Scars_of_Fraternal_Strife_285,12921,16.62%,
Dungeons,Forbidden_Necromantic_Tome_259-Unbound_Changeling_Mastery_262,12915,16.56%,
Dungeons,Empyreal_Ordnance_278-Soulletting_Ruby_278,12910,16.52%,
Dungeons,The_First_Sigil_265-Grim_Eclipse_272,12907,16.49%,
Dungeons,Inscrutable_Quantum_Device_278-Soulletting_Ruby_262,12898,16.41%,
Dungeons,Shadowed_Orb_of_Torment_252-Soulletting_Ruby_262,12897,16.40%,
Dungeons,Shadowed_Orb_of_Torment_252-Inscrutable_Quantum_Device_278,12893,16.36%,
Dungeons,Forbidden_Necromantic_Tome_259-Empyreal_Ordnance_278,12886,16.30%,
Dungeons,Inscrutable_Quantum_Device_262-Soulletting_Ruby_278,12885,16.29%,
Dungeons,Unbound_Changeling_Mastery_278-Grim_Eclipse_285,12885,16.29%,
Dungeons,Titanic_Ocular_Gland_252-Shadowed_Orb_of_Torment_252,12884,16.28%,
Dungeons,Elegy_of_the_Eternals_278-Scars_of_Fraternal_Strife_285,12877,16.22%,
Dungeons,Titanic_Ocular_Gland_252-Unbound_Changeling_Haste_262,12874,16.19%,
Dungeons,Forbidden_Necromantic_Tome_259-Unbound_Changeling_Haste_262,12871,16.16%,
Dungeons,Architects_Ingenuity_Core_278-Scars_of_Fraternal_Strife_285,12869,16.15%,
Dungeons,Empyreal_Ordnance_262-Unbound_Changeling_Mastery_262,12867,16.13%,
Dungeons,Soulletting_Ruby_278-Grim_Eclipse_285,12867,16.13%,
Dungeons,Inscrutable_Quantum_Device_278-Grim_Eclipse_285,12866,16.12%,
Dungeons,Resonant_Reservoir_278-Scars_of_Fraternal_Strife_285,12865,16.11%,
Dungeons,Elegy_of_the_Eternals_265-The_First_Sigil_265,12858,16.05%,
Dungeons,The_First_Sigil_265-Architects_Ingenuity_Core_265,12857,16.04%,
Dungeons,Soulletting_Ruby_278-Architects_Ingenuity_Core_278,12855,16.02%,
Dungeons,Forbidden_Necromantic_Tome_259-Titanic_Ocular_Gland_252,12848,15.96%,
Dungeons,Grim_Eclipse_272-Scars_of_Fraternal_Strife_285,12848,15.96%,
Dungeons,Grim_Eclipse_285-Scars_of_Fraternal_Strife_272,12847,15.95%,
Dungeons,Soulletting_Ruby_278-Resonant_Reservoir_278,12845,15.93%,
Dungeons,Forbidden_Necromantic_Tome_259-Shadowed_Orb_of_Torment_252,12844,15.92%,
Dungeons,Resonant_Reservoir_265-The_First_Sigil_265,12844,15.92%,
Dungeons,Unbound_Changeling_Mastery_278-Architects_Ingenuity_Core_278,12842,15.90%,
Dungeons,Unbound_Changeling_Mastery_278-Elegy_of_the_Eternals_278,12842,15.90%,
Dungeons,Unbound_Changeling_Mastery_278-Resonant_Reservoir_278,12835,15.84%,
Dungeons,Empyreal_Ordnance_262-Unbound_Changeling_Haste_262,12834,15.83%,
