profile,actor,DPS,increase,
Dungeons,Cabalists_Hymnal_Allies_4_233-Inscrutable_Quantum_Device_226,5961,17.09%,
Dungeons,Cabalists_Hymnal_Allies_4_233-Dreadfire_Vessel_233,5955,16.97%,
Dungeons,Cabalists_Hymnal_Allies_3_233-Dreadfire_Vessel_233,5949,16.85%,
Dungeons,Glyph_of_Assimilation_226-Cabalists_Hymnal_Allies_4_233,5949,16.85%,
Dungeons,Cabalists_Hymnal_Allies_3_233-Inscrutable_Quantum_Device_226,5948,16.83%,
Dungeons,Cabalists_Hymnal_Allies_2_233-Inscrutable_Quantum_Device_226,5942,16.72%,
Dungeons,Cabalists_Hymnal_Allies_2_233-Dreadfire_Vessel_233,5938,16.64%,
Dungeons,Cabalists_Hymnal_Allies_1_233-Dreadfire_Vessel_233,5936,16.60%,
Dungeons,Glyph_of_Assimilation_226-Cabalists_Hymnal_Allies_3_233,5935,16.58%,
Dungeons,Cabalists_Hymnal_Allies_0_233-Dreadfire_Vessel_233,5932,16.52%,
Dungeons,Macabre_Sheet_Music_226-Inscrutable_Quantum_Device_226,5932,16.52%,
Dungeons,Cabalists_Hymnal_Allies_0_233-Inscrutable_Quantum_Device_226,5931,16.50%,
Dungeons,Cabalists_Hymnal_Allies_1_233-Inscrutable_Quantum_Device_226,5931,16.50%,
Dungeons,Macabre_Sheet_Music_226-Cabalists_Hymnal_Allies_4_233,5930,16.48%,
Dungeons,Cabalists_Hymnal_Allies_4_233-Soulletting_Ruby_226,5929,16.46%,
Dungeons,Macabre_Sheet_Music_226-Cabalists_Hymnal_Allies_3_233,5925,16.38%,
Dungeons,Glyph_of_Assimilation_226-Cabalists_Hymnal_Allies_1_233,5924,16.36%,
Dungeons,Cabalists_Hymnal_Allies_3_233-Soulletting_Ruby_226,5921,16.30%,
Dungeons,Glyph_of_Assimilation_226-Cabalists_Hymnal_Allies_2_233,5921,16.30%,
Dungeons,Cabalists_Hymnal_Allies_4_220-Inscrutable_Quantum_Device_226,5918,16.24%,
Dungeons,Macabre_Sheet_Music_226-Cabalists_Hymnal_Allies_2_233,5915,16.19%,
Dungeons,Cabalists_Hymnal_Allies_2_233-Soulletting_Ruby_226,5913,16.15%,
Dungeons,Cabalists_Hymnal_Allies_3_220-Dreadfire_Vessel_233,5910,16.09%,
Dungeons,Glyph_of_Assimilation_226-Cabalists_Hymnal_Allies_0_233,5910,16.09%,
Dungeons,Cabalists_Hymnal_Allies_4_220-Dreadfire_Vessel_233,5909,16.07%,
Dungeons,Cabalists_Hymnal_Allies_4_233-Empyreal_Ordnance_226,5909,16.07%,
Dungeons,Cabalists_Hymnal_Allies_4_233-Inscrutable_Quantum_Device_210,5908,16.05%,
Dungeons,Macabre_Sheet_Music_226-Cabalists_Hymnal_Allies_1_233,5908,16.05%,
Dungeons,Cabalists_Hymnal_Allies_0_233-Soulletting_Ruby_226,5907,16.03%,
Dungeons,Cabalists_Hymnal_Allies_1_233-Soulletting_Ruby_226,5905,15.99%,
Dungeons,Cabalists_Hymnal_Allies_2_220-Inscrutable_Quantum_Device_226,5905,15.99%,
Dungeons,Cabalists_Hymnal_Allies_3_220-Inscrutable_Quantum_Device_226,5904,15.97%,
Dungeons,Cabalists_Hymnal_Allies_3_233-Inscrutable_Quantum_Device_210,5902,15.93%,
Dungeons,Cabalists_Hymnal_Allies_1_220-Inscrutable_Quantum_Device_226,5901,15.91%,
Dungeons,Glyph_of_Assimilation_226-Cabalists_Hymnal_Allies_4_220,5900,15.89%,
Dungeons,Cabalists_Hymnal_Allies_1_220-Dreadfire_Vessel_233,5897,15.83%,
Dungeons,Cabalists_Hymnal_Allies_2_220-Dreadfire_Vessel_233,5897,15.83%,
Dungeons,Cabalists_Hymnal_Allies_4_233-Dreadfire_Vessel_220,5897,15.83%,
Dungeons,Dreadfire_Vessel_233-Inscrutable_Quantum_Device_226,5897,15.83%,
