profile,actor,DPS,increase,
Single,Cabalists_Hymnal_Allies_4_233-Soulletting_Ruby_226,6490,18.63%,
Single,Cabalists_Hymnal_Allies_4_233-Empyreal_Ordnance_226,6484,18.51%,
Single,Cabalists_Hymnal_Allies_3_233-Soulletting_Ruby_226,6480,18.45%,
Single,Cabalists_Hymnal_Allies_3_233-Empyreal_Ordnance_226,6473,18.32%,
Single,Cabalists_Hymnal_Allies_2_233-Soulletting_Ruby_226,6472,18.29%,
Single,Cabalists_Hymnal_Allies_1_233-Soulletting_Ruby_226,6462,18.11%,
Single,Cabalists_Hymnal_Allies_2_233-Empyreal_Ordnance_226,6461,18.09%,
Single,Cabalists_Hymnal_Allies_4_233-Inscrutable_Quantum_Device_226,6459,18.05%,
Single,Cabalists_Hymnal_Allies_0_233-Soulletting_Ruby_226,6454,17.97%,
Single,Cabalists_Hymnal_Allies_1_233-Empyreal_Ordnance_226,6451,17.92%,
Single,Cabalists_Hymnal_Allies_3_233-Inscrutable_Quantum_Device_226,6446,17.82%,
Single,Macabre_Sheet_Music_226-Cabalists_Hymnal_Allies_4_233,6443,17.77%,
Single,Cabalists_Hymnal_Allies_0_233-Empyreal_Ordnance_226,6441,17.73%,
Single,Cabalists_Hymnal_Allies_4_220-Soulletting_Ruby_226,6440,17.71%,
Single,Cabalists_Hymnal_Allies_2_233-Inscrutable_Quantum_Device_226,6435,17.63%,
Single,Cabalists_Hymnal_Allies_4_233-Soulletting_Ruby_210,6435,17.61%,
Single,Macabre_Sheet_Music_226-Cabalists_Hymnal_Allies_3_233,6434,17.60%,
Single,Cabalists_Hymnal_Allies_4_220-Empyreal_Ordnance_226,6431,17.55%,
Single,Cabalists_Hymnal_Allies_3_220-Soulletting_Ruby_226,6430,17.53%,
Single,Cabalists_Hymnal_Allies_1_233-Inscrutable_Quantum_Device_226,6427,17.47%,
Single,Cabalists_Hymnal_Allies_4_233-Dreadfire_Vessel_233,6426,17.46%,
Single,Cabalists_Hymnal_Allies_3_233-Soulletting_Ruby_210,6424,17.42%,
Single,Cabalists_Hymnal_Allies_4_233-Empyreal_Ordnance_210,6423,17.40%,
Single,Macabre_Sheet_Music_226-Cabalists_Hymnal_Allies_2_233,6423,17.39%,
Single,Cabalists_Hymnal_Allies_3_220-Empyreal_Ordnance_226,6422,17.39%,
Single,Cabalists_Hymnal_Allies_2_220-Soulletting_Ruby_226,6422,17.38%,
Single,Glyph_of_Assimilation_226-Cabalists_Hymnal_Allies_4_233,6419,17.32%,
Single,Cabalists_Hymnal_Allies_0_233-Inscrutable_Quantum_Device_226,6418,17.31%,
Single,Cabalists_Hymnal_Allies_2_233-Soulletting_Ruby_210,6416,17.26%,
Single,Cabalists_Hymnal_Allies_3_233-Dreadfire_Vessel_233,6415,17.24%,
Single,Macabre_Sheet_Music_226-Cabalists_Hymnal_Allies_1_233,6414,17.23%,
Single,Cabalists_Hymnal_Allies_2_220-Empyreal_Ordnance_226,6413,17.21%,
Single,Glyph_of_Assimilation_226-Cabalists_Hymnal_Allies_3_233,6413,17.21%,
Single,Cabalists_Hymnal_Allies_3_233-Empyreal_Ordnance_210,6412,17.20%,
Single,Empyreal_Ordnance_226-Inscrutable_Quantum_Device_226,6412,17.19%,
Single,Cabalists_Hymnal_Allies_1_220-Soulletting_Ruby_226,6410,17.17%,
Single,Cabalists_Hymnal_Allies_2_233-Dreadfire_Vessel_233,6407,17.11%,
Single,Soulletting_Ruby_226-Sinful_Gladiators_Insignia_of_Alacrity_226,6407,17.11%,
Single,Cabalists_Hymnal_Allies_4_233-Sinful_Gladiators_Insignia_of_Alacrity_226,6406,17.09%,
Single,Empyreal_Ordnance_226-Soulletting_Ruby_226,6405,17.07%,
Single,Cabalists_Hymnal_Allies_1_233-Soulletting_Ruby_210,6405,17.06%,
Single,Cabalists_Hymnal_Allies_4_220-Inscrutable_Quantum_Device_226,6404,17.06%,
Single,Macabre_Sheet_Music_226-Empyreal_Ordnance_226,6404,17.05%,
Single,Cabalists_Hymnal_Allies_0_220-Soulletting_Ruby_226,6402,17.02%,
Single,Cabalists_Hymnal_Allies_1_220-Empyreal_Ordnance_226,6402,17.02%,
Single,Macabre_Sheet_Music_226-Cabalists_Hymnal_Allies_0_233,6401,16.99%,
Single,Cabalists_Hymnal_Allies_4_233-Inscrutable_Quantum_Device_210,6401,16.99%,
Single,Macabre_Sheet_Music_213-Cabalists_Hymnal_Allies_4_233,6400,16.98%,
Single,Cabalists_Hymnal_Allies_2_233-Empyreal_Ordnance_210,6400,16.97%,
Single,Glyph_of_Assimilation_226-Cabalists_Hymnal_Allies_2_233,6399,16.96%,
Single,Cabalists_Hymnal_Allies_3_233-Sinful_Gladiators_Insignia_of_Alacrity_226,6397,16.93%,
Single,Cabalists_Hymnal_Allies_1_233-Dreadfire_Vessel_233,6396,16.90%,
Single,Cabalists_Hymnal_Allies_0_233-Soulletting_Ruby_210,6396,16.90%,
