profile,actor,DPS,increase,
Composite,Unbound_Changeling_All_278,11276,11.53%,
Composite,Unbound_Changeling_All_275,11244,11.22%,
Composite,Grim_Eclipse_285,11241,11.19%,
Composite,Unbound_Changeling_All_272,11215,10.94%,
Composite,Soulletting_Ruby_278,11196,10.74%,
Composite,The_First_Sigil_278,11191,10.70%,
Composite,Soulletting_Ruby_275,11178,10.56%,
Composite,Scars_of_Fraternal_Strife_285,11171,10.50%,
Composite,Unbound_Changeling_All_268,11168,10.47%,
Composite,Unbound_Changeling_Mastery_278,11163,10.41%,
Composite,Soulletting_Ruby_272,11152,10.31%,
Composite,Moonlit_Prism_272,11144,10.23%,
Composite,Unbound_Changeling_All_265,11137,10.16%,
Composite,Unbound_Changeling_Crit_278,11136,10.15%,
Composite,Unbound_Changeling_Mastery_275,11130,10.09%,
Composite,Shadowed_Orb_of_Torment_252,11121,10.00%,
Composite,Soulletting_Ruby_268,11120,9.99%,
Composite,Grim_Eclipse_272,11114,9.93%,
Composite,Unbound_Changeling_Crit_275,11111,9.91%,
Composite,Unbound_Changeling_All_262,11111,9.90%,
Composite,Unbound_Changeling_Mastery_272,11110,9.89%,
Composite,Soulletting_Ruby_265,11107,9.86%,
Composite,Scars_of_Fraternal_Strife_272,11105,9.85%,
Composite,The_First_Sigil_265,11095,9.74%,
Composite,Unbound_Changeling_Haste_278,11090,9.69%,
Composite,Unbound_Changeling_Crit_272,11081,9.61%,
Composite,Infinitely_Divisible_Ooze_278,11080,9.60%,
Composite,Unbound_Changeling_All_259,11079,9.59%,
Composite,Soulletting_Ruby_262,11078,9.58%,
Composite,Soleahs_Secret_Technique_Mastery_278,11069,9.49%,
Composite,Unbound_Changeling_Mastery_268,11068,9.47%,
Composite,Inscrutable_Quantum_Device_278,11065,9.45%,
Composite,Unbound_Changeling_Haste_275,11063,9.42%,
Composite,Soulletting_Ruby_259,11062,9.42%,
Composite,Empyreal_Ordnance_278,11055,9.35%,
Composite,Infinitely_Divisible_Ooze_275,11053,9.33%,
Composite,Unbound_Changeling_Mastery_265,11049,9.29%,
Composite,Soleahs_Secret_Technique_Mastery_275,11049,9.29%,
Composite,Inscrutable_Quantum_Device_275,11045,9.25%,
Composite,Unbound_Changeling_Crit_268,11044,9.24%,
Composite,Scars_of_Fraternal_Strife_259,11042,9.22%,
Composite,Unbound_Changeling_Haste_272,11040,9.20%,
Composite,Unbound_Changeling_All_255,11039,9.20%,
Composite,Satchel_of_Misbegotten_Minions_278,11037,9.17%,
Composite,Empyreal_Ordnance_275,11035,9.16%,
Composite,Shadowed_Orb_of_Torment_239,11034,9.14%,
Composite,Soulletting_Ruby_255,11032,9.12%,
Composite,Soleahs_Secret_Technique_Mastery_272,11030,9.10%,
Composite,Energy_Siphon_252,11026,9.07%,
Composite,Soleahs_Secret_Technique_Crit_278,11026,9.06%,
Composite,Inscrutable_Quantum_Device_272,11023,9.04%,
Composite,Infinitely_Divisible_Ooze_272,11023,9.03%,
Composite,Unbound_Changeling_Mastery_262,11023,9.03%,
Composite,Unbound_Changeling_Crit_265,11018,8.98%,
Composite,Unbound_Changeling_All_252,11017,8.97%,
Composite,Living_Flame_252,11015,8.95%,
Composite,Empyreal_Ordnance_272,11015,8.95%,
Composite,Satchel_of_Misbegotten_Minions_275,11011,8.92%,
Composite,Elegy_of_the_Eternals_278,11010,8.90%,
Composite,The_First_Sigil_252,11007,8.88%,
Composite,Soulletting_Ruby_252,11007,8.87%,
Composite,Soleahs_Secret_Technique_Crit_275,11006,8.87%,
Composite,Soleahs_Secret_Technique_Haste_278,11006,8.87%,
Composite,Unbound_Changeling_Haste_268,11002,8.83%,
Composite,Soleahs_Secret_Technique_Versatility_278,11002,8.82%,
Composite,Soulletting_Ruby_249,10996,8.77%,
Composite,Soleahs_Secret_Technique_Mastery_268,10996,8.76%,
Composite,Inscrutable_Quantum_Device_268,10994,8.75%,
Composite,Unbound_Changeling_Crit_262,10994,8.75%,
Composite,Unbound_Changeling_Mastery_259,10994,8.75%,
Composite,Unbound_Changeling_All_249,10992,8.73%,
Composite,Necromantic_Focus_252,10990,8.71%,
Composite,Grim_Eclipse_259,10989,8.69%,
Composite,Scars_of_Fraternal_Strife_246,10988,8.68%,
Composite,Empyreal_Ordnance_268,10987,8.68%,
Composite,Soleahs_Secret_Technique_Crit_272,10987,8.68%,
Composite,Cosmic_Gladiators_Badge_of_Ferocity_275,10984,8.65%,
Composite,Soleahs_Secret_Technique_Haste_275,10984,8.65%,
Composite,Satchel_of_Misbegotten_Minions_272,10984,8.64%,
Composite,Stormsinger_Fulmination_Charge_272,10983,8.64%,
Composite,Infinitely_Divisible_Ooze_268,10982,8.63%,
Composite,Soleahs_Secret_Technique_Versatility_275,10980,8.61%,
Composite,Unbound_Changeling_Haste_265,10978,8.58%,
Composite,Soulletting_Ruby_246,10976,8.57%,
Composite,Inscrutable_Quantum_Device_265,10974,8.55%,
Composite,Cosmic_Gladiators_Insignia_of_Alacrity_275,10973,8.54%,
Composite,Cosmic_Gladiators_Badge_of_Ferocity_272,10972,8.52%,
Composite,Soleahs_Secret_Technique_Mastery_265,10971,8.52%,
Composite,Soleahs_Secret_Technique_Haste_272,10969,8.50%,
Composite,Unbound_Changeling_All_246,10968,8.48%,
Composite,Unbound_Changeling_Crit_259,10966,8.47%,
Composite,Empyreal_Ordnance_265,10965,8.46%,
Composite,Infernal_Writ_272,10965,8.46%,
Composite,Soleahs_Secret_Technique_Versatility_272,10962,8.42%,
Composite,Soleahs_Secret_Technique_Mastery_262,10961,8.42%,
Composite,Cosmic_Gladiators_Insignia_of_Alacrity_272,10961,8.42%,
Composite,Unbound_Changeling_Mastery_255,10960,8.41%,
Composite,Soleahs_Secret_Technique_Crit_268,10960,8.41%,
Composite,Unbound_Changeling_Haste_262,10954,8.35%,
Composite,Inscrutable_Quantum_Device_262,10953,8.34%,
Composite,Soulletting_Ruby_242,10952,8.33%,
Composite,Infinitely_Divisible_Ooze_265,10951,8.32%,
Composite,Empyreal_Ordnance_262,10951,8.32%,
Composite,Satchel_of_Misbegotten_Minions_268,10948,8.29%,
Composite,Shadowed_Orb_of_Torment_226,10947,8.28%,
Composite,Cosmic_Gladiators_Badge_of_Ferocity_268,10944,8.25%,
Composite,Soleahs_Secret_Technique_Haste_268,10942,8.24%,
Composite,Soleahs_Secret_Technique_Crit_265,10942,8.23%,
Composite,Soleahs_Secret_Technique_Mastery_259,10940,8.21%,
Composite,Elegy_of_the_Eternals_265,10938,8.20%,
Composite,Soleahs_Secret_Technique_Versatility_268,10937,8.19%,
Composite,Inscrutable_Quantum_Device_259,10937,8.18%,
Composite,Unbound_Changeling_Crit_255,10935,8.16%,
Composite,Unbound_Changeling_Haste_259,10934,8.15%,
Composite,Unbound_Changeling_All_242,10934,8.15%,
Composite,Unbound_Changeling_Mastery_252,10933,8.15%,
Composite,Cosmic_Gladiators_Insignia_of_Alacrity_268,10933,8.14%,
Composite,Resonant_Reservoir_278,10932,8.13%,
Composite,The_First_Sigil_239,10931,8.13%,
Composite,Empyreal_Ordnance_259,10930,8.11%,
Composite,Titanic_Ocular_Gland_252,10927,8.08%,
Composite,Soulletting_Ruby_239,10926,8.07%,
Composite,Soleahs_Secret_Technique_Haste_265,10924,8.06%,
Composite,Infinitely_Divisible_Ooze_262,10924,8.05%,
Composite,Cosmic_Gladiators_Badge_of_Ferocity_265,10922,8.03%,
Composite,Soleahs_Secret_Technique_Crit_262,10921,8.03%,
Composite,Unbound_Changeling_Mastery_249,10921,8.02%,
Composite,Satchel_of_Misbegotten_Minions_265,10920,8.02%,
Composite,Eye_of_the_Broodmother_252,10919,8.00%,
