profile,actor,DPS,increase,
Composite,Sinful_Gladiators_Badge_of_Ferocity_226,5438,12.01%,
Composite,Sinful_Gladiators_Badge_of_Ferocity_220,5408,11.40%,
Composite,Sinful_Gladiators_Badge_of_Ferocity_213,5379,10.80%,
Composite,Sinful_Gladiators_Badge_of_Ferocity_207,5350,10.20%,
Composite,Sinful_Gladiators_Badge_of_Ferocity_200,5323,9.63%,
Composite,Empyreal_Ordnance_226,5286,8.88%,
Composite,Sinful_Gladiators_Badge_of_Ferocity_190,5284,8.83%,
Composite,Inscrutable_Quantum_Device_226,5281,8.78%,
Composite,Cabalists_Hymnal_Allies_4_233,5280,8.76%,
Composite,Empyreal_Ordnance_223,5277,8.69%,
Composite,Cabalists_Hymnal_Allies_3_233,5273,8.61%,
Composite,Inscrutable_Quantum_Device_223,5270,8.56%,
Composite,Empyreal_Ordnance_220,5266,8.48%,
Composite,Cabalists_Hymnal_Allies_2_233,5265,8.45%,
Composite,Inscrutable_Quantum_Device_220,5262,8.39%,
Composite,Dreadfire_Vessel_233,5261,8.36%,
Composite,Macabre_Sheet_Music_226,5260,8.35%,
Composite,Cabalists_Hymnal_Allies_1_233,5257,8.29%,
Composite,Soulletting_Ruby_226,5255,8.25%,
Composite,Inscrutable_Quantum_Device_216,5255,8.24%,
Composite,Empyreal_Ordnance_216,5253,8.20%,
Composite,Cabalists_Hymnal_Allies_0_233,5251,8.15%,
Composite,Glyph_of_Assimilation_226,5250,8.13%,
Composite,Soul_Igniter_226,5248,8.09%,
Composite,Empyreal_Ordnance_213,5245,8.03%,
Composite,Inscrutable_Quantum_Device_213,5244,8.02%,
Composite,Soulletting_Ruby_223,5244,8.01%,
Composite,Soulletting_Ruby_220,5237,7.88%,
Composite,Cabalists_Hymnal_Allies_4_220,5237,7.87%,
Composite,Inscrutable_Quantum_Device_210,5236,7.84%,
Composite,Empyreal_Ordnance_210,5233,7.80%,
Composite,Sinful_Aspirants_Badge_of_Ferocity_190,5232,7.77%,
Composite,Cabalists_Hymnal_Allies_3_220,5231,7.75%,
Composite,Soulletting_Ruby_216,5228,7.69%,
Composite,Inscrutable_Quantum_Device_207,5226,7.64%,
Composite,Empyreal_Ordnance_207,5224,7.60%,
Composite,Cabalists_Hymnal_Allies_2_220,5223,7.59%,
Composite,Macabre_Sheet_Music_213,5222,7.57%,
Composite,Soulletting_Ruby_213,5218,7.48%,
Composite,Inscrutable_Quantum_Device_204,5218,7.48%,
Composite,Inscrutable_Quantum_Device_203,5217,7.46%,
Composite,Cabalists_Hymnal_Allies_1_220,5217,7.45%,
Composite,Empyreal_Ordnance_203,5214,7.41%,
Composite,Empyreal_Ordnance_204,5214,7.40%,
Composite,Sinful_Aspirants_Badge_of_Ferocity_184,5213,7.37%,
Composite,Satchel_of_Misbegotten_Minions_226,5213,7.37%,
Composite,Sinful_Gladiators_Insignia_of_Alacrity_226,5212,7.35%,
Composite,Soulletting_Ruby_210,5211,7.33%,
Composite,Cabalists_Hymnal_Allies_0_220,5209,7.30%,
Composite,Inscrutable_Quantum_Device_200,5209,7.29%,
Composite,Empyreal_Ordnance_200,5204,7.18%,
Composite,Dreadfire_Vessel_220,5201,7.14%,
Composite,Cabalists_Hymnal_Allies_4_207,5201,7.13%,
Composite,Satchel_of_Misbegotten_Minions_223,5201,7.13%,
Composite,Inscrutable_Quantum_Device_197,5201,7.12%,
Composite,Soulletting_Ruby_207,5200,7.11%,
Composite,Glyph_of_Assimilation_213,5197,7.05%,
Composite,Cabalists_Hymnal_Allies_3_207,5196,7.02%,
Composite,Soul_Igniter_213,5195,7.00%,
Composite,Empyreal_Ordnance_197,5194,6.99%,
Composite,Sinful_Gladiators_Insignia_of_Alacrity_220,5194,6.97%,
Composite,Soulletting_Ruby_204,5193,6.95%,
Composite,Inscrutable_Quantum_Device_194,5192,6.95%,
Composite,Sinful_Aspirants_Badge_of_Ferocity_177,5191,6.93%,
Composite,Soulletting_Ruby_203,5191,6.92%,
Composite,Satchel_of_Misbegotten_Minions_220,5189,6.89%,
Composite,Cabalists_Hymnal_Allies_2_207,5188,6.86%,
Composite,Macabre_Sheet_Music_200,5187,6.84%,
Composite,Empyreal_Ordnance_194,5186,6.82%,
Composite,Soulletting_Ruby_200,5183,6.75%,
Composite,Inscrutable_Quantum_Device_190,5183,6.75%,
Composite,Cabalists_Hymnal_Allies_1_207,5182,6.74%,
Composite,Infinitely_Divisible_Ooze_226,5182,6.73%,
Composite,Satchel_of_Misbegotten_Minions_216,5178,6.65%,
Composite,Sinful_Gladiators_Insignia_of_Alacrity_213,5177,6.64%,
Composite,Cabalists_Hymnal_Allies_0_207,5176,6.61%,
Composite,Inscrutable_Quantum_Device_187,5176,6.61%,
Composite,Sinful_Aspirants_Badge_of_Ferocity_171,5176,6.60%,
Composite,Soulletting_Ruby_197,5175,6.60%,
Composite,Empyreal_Ordnance_190,5174,6.58%,
Composite,Infinitely_Divisible_Ooze_223,5171,6.50%,
Composite,Inscrutable_Quantum_Device_183,5169,6.46%,
Composite,Cabalists_Hymnal_Allies_4_194,5167,6.44%,
Composite,Empyreal_Ordnance_187,5167,6.43%,
Composite,Satchel_of_Misbegotten_Minions_213,5167,6.42%,
Composite,Soulletting_Ruby_194,5166,6.40%,
Composite,Sunblood_Amethyst_226,5162,6.33%,
Composite,Cabalists_Hymnal_Allies_3_194,5160,6.29%,
Composite,Infinitely_Divisible_Ooze_220,5160,6.29%,
Composite,Sinful_Gladiators_Insignia_of_Alacrity_207,5159,6.27%,
Composite,Empyreal_Ordnance_183,5157,6.23%,
Composite,Satchel_of_Misbegotten_Minions_210,5157,6.22%,
Composite,Sunblood_Amethyst_223,5157,6.22%,
Composite,Sinful_Aspirants_Badge_of_Ferocity_164,5156,6.21%,
Composite,Soulletting_Ruby_190,5156,6.20%,
Composite,Cabalists_Hymnal_Allies_2_194,5155,6.18%,
Composite,Dreadfire_Vessel_207,5154,6.17%,
Composite,Macabre_Sheet_Music_187,5154,6.15%,
Composite,Soulletting_Ruby_187,5150,6.08%,
Composite,Cabalists_Hymnal_Allies_1_194,5150,6.07%,
Composite,Infinitely_Divisible_Ooze_216,5150,6.07%,
Composite,Glyph_of_Assimilation_200,5147,6.02%,
Composite,Sinful_Gladiators_Insignia_of_Alacrity_200,5147,6.01%,
Composite,Soul_Igniter_200,5146,5.99%,
Composite,Sunblood_Amethyst_220,5146,5.99%,
Composite,Satchel_of_Misbegotten_Minions_207,5143,5.94%,
Composite,Cabalists_Hymnal_Allies_0_194,5143,5.93%,
Composite,Soulletting_Ruby_183,5142,5.92%,
Composite,Sinful_Aspirants_Badge_of_Ferocity_158,5140,5.87%,
Composite,Infinitely_Divisible_Ooze_213,5139,5.85%,
Composite,Inscrutable_Quantum_Device_170,5137,5.81%,
Composite,Sunblood_Amethyst_216,5136,5.80%,
Composite,Satchel_of_Misbegotten_Minions_203,5134,5.75%,
Composite,Sinful_Aspirants_Insignia_of_Alacrity_190,5133,5.73%,
Composite,Satchel_of_Misbegotten_Minions_204,5133,5.73%,
Composite,Infinitely_Divisible_Ooze_210,5131,5.69%,
Composite,Sunblood_Amethyst_213,5128,5.62%,
Composite,Empyreal_Ordnance_170,5125,5.56%,
Composite,Overflowing_Anima_Prison_226,5125,5.56%,
Composite,Sinful_Gladiators_Insignia_of_Alacrity_190,5124,5.54%,
Composite,Satchel_of_Misbegotten_Minions_200,5123,5.53%,
Composite,Sunblood_Amethyst_210,5121,5.49%,
Composite,Sinful_Aspirants_Insignia_of_Alacrity_184,5121,5.47%,
Composite,Infinitely_Divisible_Ooze_207,5120,5.46%,
Composite,Overflowing_Anima_Prison_223,5116,5.38%,
Composite,Satchel_of_Misbegotten_Minions_197,5114,5.33%,
Composite,Sunblood_Amethyst_207,5113,5.31%,
Composite,Soulletting_Ruby_170,5112,5.29%,
Composite,Infinitely_Divisible_Ooze_204,5111,5.29%,
Composite,Dreadfire_Vessel_194,5110,5.26%,
Composite,Overflowing_Anima_Prison_220,5110,5.25%,
Composite,Infinitely_Divisible_Ooze_203,5109,5.24%,
Composite,Inscrutable_Quantum_Device_158,5109,5.23%,
Composite,Sunblood_Amethyst_203,5108,5.21%,
Composite,Sunblood_Amethyst_204,5107,5.18%,
Composite,Sinful_Aspirants_Insignia_of_Alacrity_177,5106,5.18%,
Composite,Overflowing_Anima_Prison_216,5103,5.11%,
Composite,Glyph_of_Assimilation_187,5103,5.11%,
Composite,Satchel_of_Misbegotten_Minions_194,5103,5.10%,
Composite,Soul_Igniter_187,5101,5.08%,
Composite,Infinitely_Divisible_Ooze_200,5101,5.08%,
Composite,Sunblood_Amethyst_200,5101,5.08%,
Composite,Overflowing_Anima_Prison_213,5097,4.99%,
Composite,Darkmoon_Deck_Putrescence_200,5097,4.98%,
Composite,Empyreal_Ordnance_158,5096,4.97%,
Composite,Sunblood_Amethyst_197,5094,4.92%,
Composite,Sinful_Aspirants_Insignia_of_Alacrity_171,5093,4.89%,
Composite,Infinitely_Divisible_Ooze_197,5092,4.89%,
Composite,Satchel_of_Misbegotten_Minions_190,5091,4.87%,
Composite,Overflowing_Anima_Prison_210,5091,4.86%,
Composite,Unbound_Changeling_226,5088,4.80%,
Composite,Soulletting_Ruby_158,5087,4.78%,
Composite,Sunblood_Amethyst_194,5086,4.76%,
Composite,Satchel_of_Misbegotten_Minions_187,5084,4.73%,
Composite,Overflowing_Anima_Prison_207,5083,4.70%,
Composite,Infinitely_Divisible_Ooze_194,5083,4.69%,
Composite,Unbound_Changeling_223,5080,4.63%,
Composite,Sinful_Aspirants_Insignia_of_Alacrity_164,5079,4.62%,
Composite,Sunblood_Amethyst_190,5079,4.61%,
Composite,Satchel_of_Misbegotten_Minions_183,5077,4.58%,
Composite,Overflowing_Anima_Prison_204,5076,4.56%,
Composite,Overflowing_Anima_Prison_203,5076,4.56%,
Composite,Unbound_Changeling_220,5074,4.51%,
Composite,Infinitely_Divisible_Ooze_190,5074,4.51%,
Composite,Sunblood_Amethyst_187,5073,4.50%,
Composite,Overflowing_Anima_Prison_200,5071,4.45%,
Composite,Unbound_Changeling_216,5070,4.43%,
Composite,Sinful_Aspirants_Insignia_of_Alacrity_158,5068,4.39%,
Composite,Infinitely_Divisible_Ooze_187,5068,4.38%,
Composite,Sunblood_Amethyst_183,5067,4.37%,
Composite,Overflowing_Anima_Prison_197,5065,4.32%,
Composite,Unbound_Changeling_213,5062,4.27%,
Composite,Spiritual_Alchemy_Stone_165,5060,4.23%,
Composite,Infinitely_Divisible_Ooze_183,5059,4.21%,
Composite,Overflowing_Anima_Prison_194,5057,4.16%,
Composite,Unbound_Changeling_210,5057,4.16%,
Composite,Satchel_of_Misbegotten_Minions_170,5057,4.15%,
Composite,Vial_of_Caustic_Liquid_155,5053,4.09%,
Composite,Unbound_Changeling_207,5051,4.04%,
Composite,Overflowing_Anima_Prison_190,5050,4.01%,
Composite,Sunblood_Amethyst_170,5047,3.96%,
Composite,Overflowing_Anima_Prison_187,5047,3.95%,
Composite,Withergrove_Shardling_155,5045,3.91%,
Composite,Unbound_Changeling_204,5044,3.90%,
Composite,Unbound_Changeling_203,5044,3.89%,
Composite,Infinitely_Divisible_Ooze_170,5040,3.82%,
Composite,Overflowing_Anima_Prison_183,5040,3.82%,
Composite,Satchel_of_Misbegotten_Minions_158,5039,3.80%,
Composite,Unbound_Changeling_200,5039,3.78%,
Composite,Unbound_Changeling_197,5033,3.67%,
Composite,Sunblood_Amethyst_158,5033,3.66%,
Composite,Unbound_Changeling_194,5027,3.54%,
Composite,Infinitely_Divisible_Ooze_158,5024,3.49%,
Composite,Unbound_Changeling_190,5020,3.40%,
Composite,Overflowing_Anima_Prison_170,5019,3.38%,
Composite,Unbound_Changeling_187,5017,3.35%,
Composite,Unbound_Changeling_183,5012,3.24%,
Composite,Overflowing_Anima_Prison_158,5001,3.02%,
Composite,Unbound_Changeling_170,4993,2.85%,
Composite,Unbound_Changeling_158,4978,2.53%,
Composite,Flame_of_Battle_155,4974,2.45%,
Composite,Base,4855,0.00%,
