profile,actor,DPS,increase,
Composite,Unbound_Changeling_All_278,12632,11.31%,
Composite,The_First_Sigil_278,12607,11.09%,
Composite,Unbound_Changeling_All_275,12598,11.01%,
Composite,Soulletting_Ruby_278,12573,10.79%,
Composite,Unbound_Changeling_All_272,12569,10.75%,
Composite,Soulletting_Ruby_275,12553,10.62%,
Composite,Unbound_Changeling_Mastery_278,12544,10.54%,
Composite,Shadowed_Orb_of_Torment_252,12536,10.46%,
Composite,Soulletting_Ruby_272,12530,10.41%,
Composite,Unbound_Changeling_All_268,12515,10.28%,
Composite,Scars_of_Fraternal_Strife_285,12511,10.25%,
Composite,Unbound_Changeling_Mastery_275,12511,10.24%,
Composite,The_First_Sigil_265,12505,10.19%,
Composite,Empyreal_Ordnance_278,12501,10.15%,
Composite,Architects_Ingenuity_Core_278,12497,10.12%,
Composite,Soulletting_Ruby_268,12497,10.12%,
Composite,Unbound_Changeling_All_265,12487,10.04%,
Composite,Unbound_Changeling_Mastery_272,12486,10.02%,
Composite,Soulletting_Ruby_265,12474,9.92%,
Composite,Empyreal_Ordnance_275,12470,9.89%,
Composite,Unbound_Changeling_All_262,12457,9.77%,
Composite,Soulletting_Ruby_262,12455,9.75%,
Composite,Empyreal_Ordnance_272,12449,9.70%,
Composite,Unbound_Changeling_Crit_278,12440,9.62%,
Composite,Unbound_Changeling_Mastery_268,12439,9.61%,
Composite,Scars_of_Fraternal_Strife_272,12431,9.54%,
Composite,Soulletting_Ruby_259,12430,9.53%,
Composite,Shadowed_Orb_of_Torment_239,12430,9.53%,
Composite,Inscrutable_Quantum_Device_278,12428,9.51%,
Composite,Unbound_Changeling_All_259,12424,9.48%,
Composite,Empyreal_Ordnance_268,12419,9.44%,
Composite,Unbound_Changeling_Crit_275,12417,9.41%,
Composite,Moonlit_Prism_272,12414,9.39%,
Composite,Unbound_Changeling_Mastery_265,12413,9.38%,
Composite,Inscrutable_Quantum_Device_275,12406,9.32%,
Composite,Soleahs_Secret_Technique_Mastery_278,12404,9.30%,
Composite,Unbound_Changeling_Haste_278,12403,9.29%,
Composite,The_First_Sigil_252,12403,9.29%,
Composite,Soulletting_Ruby_255,12397,9.24%,
Composite,Empyreal_Ordnance_265,12393,9.21%,
Composite,Unbound_Changeling_Crit_272,12392,9.20%,
Composite,Unbound_Changeling_Haste_275,12387,9.15%,
Composite,Soleahs_Secret_Technique_Mastery_275,12387,9.15%,
Composite,Infinitely_Divisible_Ooze_278,12385,9.13%,
Composite,Unbound_Changeling_Mastery_262,12383,9.12%,
Composite,Inscrutable_Quantum_Device_272,12382,9.11%,
Composite,Architects_Ingenuity_Core_265,12382,9.11%,
Composite,Unbound_Changeling_All_255,12377,9.07%,
Composite,Soulletting_Ruby_252,12375,9.05%,
Composite,Empyreal_Ordnance_262,12373,9.03%,
Composite,Soleahs_Secret_Technique_Mastery_272,12366,8.97%,
Composite,Elegy_of_the_Eternals_278,12359,8.90%,
Composite,Soulletting_Ruby_249,12358,8.89%,
Composite,Infinitely_Divisible_Ooze_275,12358,8.89%,
Composite,Unbound_Changeling_Haste_272,12357,8.89%,
Composite,Scars_of_Fraternal_Strife_259,12354,8.86%,
Composite,Unbound_Changeling_Mastery_259,12351,8.84%,
Composite,Inscrutable_Quantum_Device_268,12350,8.83%,
Composite,Unbound_Changeling_All_252,12350,8.82%,
Composite,Unbound_Changeling_Crit_268,12349,8.82%,
Composite,Cosmic_Gladiators_Badge_of_Ferocity_275,12348,8.81%,
Composite,Empyreal_Ordnance_259,12342,8.76%,
Composite,Soleahs_Secret_Technique_Haste_278,12342,8.76%,
Composite,Satchel_of_Misbegotten_Minions_278,12340,8.74%,
Composite,Soulletting_Ruby_246,12335,8.69%,
Composite,Soleahs_Secret_Technique_Mastery_268,12332,8.67%,
Composite,Necromantic_Focus_252,12332,8.67%,
Composite,Cosmic_Gladiators_Badge_of_Ferocity_272,12329,8.64%,
Composite,Shadowed_Orb_of_Torment_226,12329,8.64%,
Composite,Stormsinger_Fulmination_Charge_272,12327,8.62%,
Composite,Unbound_Changeling_All_249,12327,8.62%,
