profile,actor,DPS,increase,
Composite,Soulletting_Ruby_226,5361,9.10%,
Composite,Cabalists_Hymnal_Allies_4_233,5355,8.98%,
Composite,Soulletting_Ruby_223,5349,8.86%,
Composite,Cabalists_Hymnal_Allies_3_233,5347,8.83%,
Composite,Soulletting_Ruby_220,5340,8.69%,
Composite,Cabalists_Hymnal_Allies_2_233,5339,8.66%,
Composite,Soulletting_Ruby_216,5331,8.50%,
Composite,Cabalists_Hymnal_Allies_1_233,5331,8.49%,
Composite,Inscrutable_Quantum_Device_226,5330,8.48%,
Composite,Cabalists_Hymnal_Allies_0_233,5322,8.32%,
Composite,Soulletting_Ruby_213,5321,8.29%,
Composite,Inscrutable_Quantum_Device_223,5319,8.26%,
Composite,Dreadfire_Vessel_233,5319,8.25%,
Composite,Unbound_Changeling_All_226,5319,8.25%,
Composite,Glyph_of_Assimilation_226,5315,8.18%,
Composite,Soulletting_Ruby_210,5312,8.11%,
Composite,Cabalists_Hymnal_Allies_4_220,5311,8.10%,
Composite,Inscrutable_Quantum_Device_220,5310,8.06%,
Composite,Empyreal_Ordnance_226,5307,8.01%,
Composite,Soul_Igniter_226,5306,7.99%,
Composite,Cabalists_Hymnal_Allies_3_220,5305,7.96%,
Composite,Unbound_Changeling_All_223,5303,7.92%,
Composite,Inscrutable_Quantum_Device_216,5302,7.92%,
Composite,Soulletting_Ruby_207,5300,7.86%,
Composite,Empyreal_Ordnance_223,5299,7.84%,
Composite,Cabalists_Hymnal_Allies_2_220,5296,7.79%,
Composite,Inscrutable_Quantum_Device_213,5293,7.73%,
Composite,Unbound_Changeling_All_220,5292,7.71%,
Composite,Soulletting_Ruby_204,5292,7.70%,
Composite,Soulletting_Ruby_203,5292,7.70%,
Composite,Empyreal_Ordnance_220,5290,7.65%,
Composite,Cabalists_Hymnal_Allies_1_220,5289,7.64%,
Composite,Inscrutable_Quantum_Device_210,5284,7.54%,
Composite,Macabre_Sheet_Music_226,5283,7.52%,
Composite,Soulletting_Ruby_200,5282,7.50%,
Composite,Unbound_Changeling_Crit_226,5282,7.50%,
Composite,Unbound_Changeling_All_216,5282,7.50%,
Composite,Cabalists_Hymnal_Allies_0_220,5281,7.49%,
Composite,Unbound_Changeling_Haste_226,5280,7.46%,
Composite,Empyreal_Ordnance_216,5278,7.41%,
Composite,Unbound_Changeling_Mastery_226,5276,7.37%,
Composite,Satchel_of_Misbegotten_Minions_226,5275,7.35%,
Composite,Soulletting_Ruby_197,5274,7.33%,
Composite,Cabalists_Hymnal_Allies_4_207,5273,7.32%,
Composite,Inscrutable_Quantum_Device_207,5272,7.30%,
Composite,Unbound_Changeling_All_213,5271,7.28%,
Composite,Sinful_Gladiators_Insignia_of_Alacrity_226,5271,7.27%,
Composite,Empyreal_Ordnance_213,5270,7.25%,
Composite,Unbound_Changeling_Crit_223,5268,7.22%,
Composite,Unbound_Changeling_Haste_223,5266,7.18%,
Composite,Cabalists_Hymnal_Allies_3_207,5266,7.17%,
Composite,Inscrutable_Quantum_Device_204,5265,7.16%,
Composite,Inscrutable_Quantum_Device_203,5265,7.15%,
Composite,Soulletting_Ruby_194,5264,7.13%,
Composite,Unbound_Changeling_Mastery_223,5263,7.12%,
Composite,Satchel_of_Misbegotten_Minions_223,5262,7.09%,
Composite,Glyph_of_Assimilation_213,5261,7.08%,
Composite,Unbound_Changeling_All_210,5260,7.05%,
Composite,Cabalists_Hymnal_Allies_2_207,5260,7.04%,
Composite,Dreadfire_Vessel_220,5259,7.04%,
Composite,Infinitely_Divisible_Ooze_226,5259,7.04%,
Composite,Empyreal_Ordnance_210,5259,7.03%,
Composite,Unbound_Changeling_Crit_220,5258,7.02%,
Composite,Unbound_Changeling_Haste_220,5257,7.00%,
Composite,Unbound_Changeling_Mastery_220,5254,6.93%,
Composite,Inscrutable_Quantum_Device_200,5254,6.93%,
Composite,Soul_Igniter_213,5253,6.91%,
Composite,Soulletting_Ruby_190,5253,6.90%,
Composite,Cabalists_Hymnal_Allies_1_207,5252,6.89%,
Composite,Empyreal_Ordnance_207,5251,6.88%,
Composite,Satchel_of_Misbegotten_Minions_220,5250,6.85%,
Composite,Sinful_Gladiators_Insignia_of_Alacrity_220,5250,6.85%,
Composite,Unbound_Changeling_Crit_216,5250,6.84%,
Composite,Unbound_Changeling_Haste_216,5248,6.82%,
Composite,Unbound_Changeling_All_207,5248,6.81%,
Composite,Macabre_Sheet_Music_213,5248,6.81%,
Composite,Infinitely_Divisible_Ooze_223,5246,6.78%,
Composite,Unbound_Changeling_Mastery_216,5245,6.75%,
Composite,Cabalists_Hymnal_Allies_0_207,5245,6.75%,
Composite,Inscrutable_Quantum_Device_197,5245,6.75%,
Composite,Soulletting_Ruby_187,5245,6.74%,
Composite,Empyreal_Ordnance_204,5242,6.69%,
Composite,Empyreal_Ordnance_203,5242,6.69%,
Composite,Unbound_Changeling_Crit_213,5241,6.67%,
Composite,Sinful_Gladiators_Badge_of_Ferocity_226,5240,6.64%,
Composite,Cabalists_Hymnal_Allies_4_194,5240,6.64%,
Composite,Unbound_Changeling_Haste_213,5239,6.63%,
Composite,Satchel_of_Misbegotten_Minions_216,5238,6.61%,
Composite,Unbound_Changeling_All_204,5238,6.61%,
Composite,Unbound_Changeling_All_203,5238,6.60%,
Composite,Inscrutable_Quantum_Device_194,5238,6.60%,
Composite,Soulletting_Ruby_183,5236,6.57%,
Composite,Unbound_Changeling_Mastery_213,5235,6.55%,
Composite,Infinitely_Divisible_Ooze_220,5235,6.55%,
Composite,Empyreal_Ordnance_200,5232,6.49%,
Composite,Cabalists_Hymnal_Allies_3_194,5232,6.49%,
Composite,Unbound_Changeling_Haste_210,5232,6.48%,
Composite,Unbound_Changeling_Crit_210,5231,6.46%,
Composite,Unbound_Changeling_All_200,5228,6.40%,
Composite,Satchel_of_Misbegotten_Minions_213,5228,6.39%,
Composite,Sinful_Gladiators_Badge_of_Ferocity_220,5227,6.39%,
Composite,Unbound_Changeling_Mastery_210,5227,6.38%,
Composite,Sinful_Gladiators_Insignia_of_Alacrity_213,5227,6.38%,
Composite,Cabalists_Hymnal_Allies_2_194,5227,6.38%,
Composite,Infinitely_Divisible_Ooze_216,5225,6.34%,
Composite,Inscrutable_Quantum_Device_190,5225,6.34%,
Composite,Empyreal_Ordnance_197,5224,6.33%,
Composite,Cabalists_Hymnal_Allies_1_194,5220,6.25%,
Composite,Unbound_Changeling_Crit_207,5220,6.24%,
Composite,Inscrutable_Quantum_Device_187,5219,6.21%,
Composite,Unbound_Changeling_Haste_207,5219,6.21%,
Composite,Unbound_Changeling_All_197,5218,6.20%,
Composite,Sunblood_Amethyst_226,5218,6.19%,
Composite,Satchel_of_Misbegotten_Minions_210,5218,6.19%,
Composite,Empyreal_Ordnance_194,5217,6.18%,
Composite,Infinitely_Divisible_Ooze_213,5215,6.14%,
Composite,Unbound_Changeling_Mastery_207,5215,6.13%,
Composite,Cabalists_Hymnal_Allies_0_194,5214,6.11%,
Composite,Macabre_Sheet_Music_200,5213,6.10%,
Composite,Dreadfire_Vessel_207,5211,6.06%,
Composite,Unbound_Changeling_Crit_204,5211,6.06%,
Composite,Unbound_Changeling_Haste_203,5211,6.05%,
Composite,Inscrutable_Quantum_Device_183,5211,6.05%,
Composite,Sinful_Gladiators_Insignia_of_Alacrity_207,5210,6.05%,
Composite,Unbound_Changeling_Haste_204,5210,6.04%,
Composite,Unbound_Changeling_Crit_203,5210,6.04%,
Composite,Sinful_Gladiators_Badge_of_Ferocity_213,5209,6.02%,
Composite,Glyph_of_Assimilation_200,5209,6.02%,
Composite,Sunblood_Amethyst_223,5209,6.02%,
Composite,Darkmoon_Deck_Putrescence_200,5209,6.01%,
Composite,Unbound_Changeling_All_194,5209,6.01%,
Composite,Unbound_Changeling_Mastery_204,5208,5.98%,
Composite,Empyreal_Ordnance_190,5207,5.98%,
Composite,Infinitely_Divisible_Ooze_210,5207,5.97%,
Composite,Unbound_Changeling_Mastery_203,5207,5.97%,
Composite,Soul_Igniter_200,5204,5.91%,
Composite,Satchel_of_Misbegotten_Minions_207,5203,5.89%,
Composite,Unbound_Changeling_Haste_200,5203,5.89%,
Composite,Soulletting_Ruby_170,5202,5.88%,
Composite,Overflowing_Anima_Prison_226,5202,5.87%,
Composite,Unbound_Changeling_Crit_200,5201,5.85%,
Composite,Sinful_Gladiators_Insignia_of_Alacrity_200,5199,5.81%,
Composite,Empyreal_Ordnance_187,5198,5.80%,
Composite,Sunblood_Amethyst_220,5197,5.78%,
Composite,Unbound_Changeling_Mastery_200,5197,5.77%,
Composite,Unbound_Changeling_All_190,5196,5.75%,
Composite,Unbound_Changeling_Haste_197,5195,5.73%,
Composite,Sinful_Gladiators_Badge_of_Ferocity_207,5195,5.72%,
Composite,Satchel_of_Misbegotten_Minions_204,5194,5.72%,
Composite,Unbound_Changeling_Crit_197,5194,5.71%,
Composite,Satchel_of_Misbegotten_Minions_203,5193,5.70%,
Composite,Infinitely_Divisible_Ooze_207,5193,5.68%,
Composite,Overflowing_Anima_Prison_223,5192,5.67%,
Composite,Empyreal_Ordnance_183,5190,5.64%,
Composite,Unbound_Changeling_Mastery_197,5189,5.61%,
Composite,Sunblood_Amethyst_216,5189,5.61%,
Composite,Unbound_Changeling_All_187,5187,5.57%,
Composite,Overflowing_Anima_Prison_220,5186,5.55%,
Composite,Unbound_Changeling_Haste_194,5186,5.55%,
Composite,Unbound_Changeling_Crit_194,5185,5.53%,
Composite,Infinitely_Divisible_Ooze_204,5183,5.48%,
Composite,Satchel_of_Misbegotten_Minions_200,5183,5.48%,
Composite,Macabre_Sheet_Music_187,5182,5.47%,
Composite,Infinitely_Divisible_Ooze_203,5182,5.47%,
Composite,Unbound_Changeling_Mastery_194,5182,5.46%,
Composite,Sinful_Gladiators_Badge_of_Ferocity_200,5181,5.45%,
Composite,Unbound_Changeling_All_183,5180,5.43%,
Composite,Overflowing_Anima_Prison_216,5179,5.40%,
Composite,Inscrutable_Quantum_Device_170,5178,5.38%,
Composite,Sinful_Gladiators_Insignia_of_Alacrity_190,5176,5.35%,
Composite,Sunblood_Amethyst_213,5176,5.35%,
Composite,Soulletting_Ruby_158,5174,5.30%,
Composite,Satchel_of_Misbegotten_Minions_197,5173,5.29%,
Composite,Infinitely_Divisible_Ooze_200,5173,5.28%,
Composite,Unbound_Changeling_Crit_190,5173,5.28%,
Composite,Overflowing_Anima_Prison_213,5172,5.27%,
Composite,Unbound_Changeling_Haste_190,5171,5.25%,
Composite,Dreadfire_Vessel_194,5170,5.23%,
Composite,Unbound_Changeling_Mastery_190,5169,5.21%,
Composite,Sunblood_Amethyst_210,5168,5.18%,
Composite,Unbound_Changeling_Crit_187,5167,5.17%,
Composite,Overflowing_Anima_Prison_210,5167,5.15%,
Composite,Glyph_of_Assimilation_187,5165,5.12%,
Composite,Satchel_of_Misbegotten_Minions_194,5164,5.10%,
Composite,Unbound_Changeling_Haste_187,5164,5.10%,
Composite,Infinitely_Divisible_Ooze_197,5163,5.08%,
Composite,Unbound_Changeling_Mastery_187,5163,5.08%,
Composite,Empyreal_Ordnance_170,5162,5.06%,
Composite,Soul_Igniter_187,5161,5.03%,
Composite,Sunblood_Amethyst_207,5160,5.03%,
Composite,Sinful_Gladiators_Badge_of_Ferocity_190,5160,5.02%,
Composite,Sinful_Aspirants_Insignia_of_Alacrity_190,5160,5.02%,
Composite,Unbound_Changeling_Crit_183,5159,5.01%,
Composite,Overflowing_Anima_Prison_207,5157,4.95%,
Composite,Unbound_Changeling_Haste_183,5156,4.94%,
Composite,Sunblood_Amethyst_204,5156,4.93%,
Composite,Sunblood_Amethyst_203,5155,4.93%,
Composite,Unbound_Changeling_Mastery_183,5155,4.92%,
Composite,Infinitely_Divisible_Ooze_194,5155,4.91%,
Composite,Inscrutable_Quantum_Device_158,5154,4.90%,
Composite,Sinful_Aspirants_Badge_of_Ferocity_190,5153,4.87%,
Composite,Overflowing_Anima_Prison_204,5151,4.83%,
Composite,Satchel_of_Misbegotten_Minions_190,5151,4.83%,
Composite,Overflowing_Anima_Prison_203,5150,4.82%,
Composite,Sunblood_Amethyst_200,5149,4.80%,
Composite,Sinful_Aspirants_Insignia_of_Alacrity_184,5148,4.77%,
Composite,Unbound_Changeling_All_170,5147,4.74%,
Composite,Overflowing_Anima_Prison_200,5144,4.69%,
Composite,Satchel_of_Misbegotten_Minions_187,5143,4.68%,
Composite,Sunblood_Amethyst_197,5143,4.67%,
Composite,Sinful_Aspirants_Badge_of_Ferocity_184,5143,4.66%,
Composite,Infinitely_Divisible_Ooze_190,5142,4.66%,
Composite,Overflowing_Anima_Prison_197,5138,4.57%,
Composite,Sunblood_Amethyst_194,5136,4.54%,
Composite,Satchel_of_Misbegotten_Minions_183,5136,4.53%,
Composite,Sinful_Aspirants_Insignia_of_Alacrity_177,5135,4.52%,
Composite,Infinitely_Divisible_Ooze_187,5135,4.51%,
Composite,Empyreal_Ordnance_158,5135,4.50%,
Composite,Overflowing_Anima_Prison_194,5131,4.42%,
Composite,Unbound_Changeling_Crit_170,5129,4.38%,
Composite,Sinful_Aspirants_Badge_of_Ferocity_177,5129,4.38%,
Composite,Sunblood_Amethyst_190,5128,4.37%,
Composite,Infinitely_Divisible_Ooze_183,5128,4.36%,
Composite,Unbound_Changeling_Haste_170,5126,4.34%,
Composite,Spiritual_Alchemy_Stone_168,5126,4.32%,
Composite,Unbound_Changeling_Mastery_170,5125,4.31%,
Composite,Sunblood_Amethyst_187,5123,4.26%,
Composite,Overflowing_Anima_Prison_190,5123,4.26%,
Composite,Sinful_Aspirants_Insignia_of_Alacrity_171,5122,4.25%,
Composite,Unbound_Changeling_All_158,5121,4.22%,
Composite,Spiritual_Alchemy_Stone_165,5121,4.22%,
Composite,Overflowing_Anima_Prison_187,5117,4.15%,
Composite,Sunblood_Amethyst_183,5117,4.14%,
Composite,Sinful_Aspirants_Badge_of_Ferocity_171,5116,4.13%,
Composite,Vial_of_Caustic_Liquid_155,5115,4.09%,
Composite,Satchel_of_Misbegotten_Minions_170,5113,4.07%,
Composite,Overflowing_Anima_Prison_183,5113,4.05%,
Composite,Sinful_Aspirants_Insignia_of_Alacrity_164,5109,3.99%,
Composite,Infinitely_Divisible_Ooze_170,5107,3.94%,
