profile,actor,DPS,increase,
Composite,Cabalists_Hymnal_Allies_4_233,5264,8.80%,
Composite,Soulletting_Ruby_226,5258,8.68%,
Composite,Cabalists_Hymnal_Allies_3_233,5257,8.66%,
Composite,Inscrutable_Quantum_Device_226,5256,8.64%,
Composite,Cabalists_Hymnal_Allies_2_233,5250,8.50%,
Composite,Inscrutable_Quantum_Device_223,5245,8.41%,
Composite,Soulletting_Ruby_223,5245,8.41%,
Composite,Cabalists_Hymnal_Allies_1_233,5241,8.32%,
Composite,Soulletting_Ruby_220,5238,8.26%,
Composite,Inscrutable_Quantum_Device_220,5236,8.21%,
Composite,Empyreal_Ordnance_226,5235,8.21%,
Composite,Cabalists_Hymnal_Allies_0_233,5235,8.19%,
Composite,Dreadfire_Vessel_233,5231,8.11%,
Composite,Glyph_of_Assimilation_226,5230,8.10%,
Composite,Soulletting_Ruby_216,5229,8.08%,
Composite,Inscrutable_Quantum_Device_216,5227,8.04%,
Composite,Empyreal_Ordnance_223,5227,8.03%,
Composite,Unbound_Changeling_All_226,5227,8.03%,
Composite,Cabalists_Hymnal_Allies_4_220,5222,7.93%,
Composite,Soulletting_Ruby_213,5221,7.90%,
Composite,Inscrutable_Quantum_Device_213,5219,7.87%,
Composite,Empyreal_Ordnance_220,5218,7.86%,
Composite,Unbound_Changeling_All_223,5215,7.79%,
Composite,Cabalists_Hymnal_Allies_3_220,5215,7.79%,
Composite,Soul_Igniter_226,5212,7.73%,
Composite,Inscrutable_Quantum_Device_210,5212,7.72%,
Composite,Soulletting_Ruby_210,5211,7.70%,
Composite,Cabalists_Hymnal_Allies_2_220,5208,7.64%,
Composite,Empyreal_Ordnance_216,5205,7.58%,
Composite,Unbound_Changeling_All_220,5205,7.57%,
Composite,Cabalists_Hymnal_Allies_1_220,5200,7.48%,
Composite,Inscrutable_Quantum_Device_207,5200,7.48%,
Composite,Soulletting_Ruby_207,5200,7.47%,
Composite,Infinitely_Divisible_Ooze_226,5198,7.44%,
Composite,Empyreal_Ordnance_213,5196,7.39%,
Composite,Unbound_Changeling_Crit_226,5195,7.37%,
Composite,Unbound_Changeling_All_216,5194,7.35%,
Composite,Cabalists_Hymnal_Allies_0_220,5193,7.34%,
Composite,Inscrutable_Quantum_Device_203,5192,7.32%,
Composite,Soulletting_Ruby_203,5191,7.29%,
Composite,Macabre_Sheet_Music_226,5189,7.25%,
Composite,Unbound_Changeling_Haste_226,5188,7.24%,
Composite,Unbound_Changeling_Mastery_226,5187,7.21%,
Composite,Satchel_of_Misbegotten_Minions_226,5187,7.20%,
Composite,Empyreal_Ordnance_210,5187,7.20%,
Composite,Infinitely_Divisible_Ooze_223,5186,7.18%,
Composite,Cabalists_Hymnal_Allies_4_207,5185,7.17%,
Composite,Unbound_Changeling_All_213,5184,7.14%,
Composite,Inscrutable_Quantum_Device_200,5183,7.13%,
Composite,Soulletting_Ruby_200,5183,7.12%,
Composite,Unbound_Changeling_Crit_223,5182,7.11%,
Composite,Sinful_Gladiators_Insignia_of_Alacrity_226,5180,7.06%,
Composite,Cabalists_Hymnal_Allies_3_207,5179,7.04%,
Composite,Unbound_Changeling_Haste_223,5177,7.01%,
Composite,Empyreal_Ordnance_207,5177,7.00%,
Composite,Glyph_of_Assimilation_213,5176,6.99%,
Composite,Inscrutable_Quantum_Device_197,5176,6.98%,
Composite,Satchel_of_Misbegotten_Minions_223,5175,6.97%,
Composite,Unbound_Changeling_Mastery_223,5175,6.96%,
Composite,Unbound_Changeling_All_210,5175,6.96%,
Composite,Dreadfire_Vessel_220,5175,6.95%,
Composite,Soulletting_Ruby_197,5174,6.94%,
Composite,Unbound_Changeling_Crit_220,5174,6.93%,
