profile,actor,DPS,increase,
Dungeons,Inscrutable_Quantum_Device_252,9182,9.89%,
Dungeons,Soulletting_Ruby_252,9173,9.79%,
Dungeons,Soulletting_Ruby_249,9170,9.75%,
Dungeons,Inscrutable_Quantum_Device_249,9166,9.70%,
Dungeons,Soulletting_Ruby_246,9141,9.40%,
Dungeons,Inscrutable_Quantum_Device_246,9136,9.34%,
Dungeons,Unbound_Changeling_All_252,9132,9.30%,
Dungeons,Soulletting_Ruby_242,9128,9.25%,
Dungeons,Inscrutable_Quantum_Device_242,9121,9.16%,
Dungeons,Inscrutable_Quantum_Device_239,9117,9.12%,
Dungeons,Soulletting_Ruby_239,9116,9.10%,
Dungeons,Unbound_Changeling_All_249,9115,9.09%,
Dungeons,Soulletting_Ruby_236,9093,8.83%,
Dungeons,Unbound_Changeling_All_246,9093,8.83%,
Dungeons,Inscrutable_Quantum_Device_236,9089,8.78%,
Dungeons,Unbound_Changeling_Haste_252,9089,8.78%,
Dungeons,Titanic_Ocular_Gland_252,9088,8.77%,
Dungeons,Soulletting_Ruby_233,9083,8.71%,
Dungeons,Forbidden_Necromantic_Tome_259,9082,8.70%,
Dungeons,Shadowed_Orb_of_Torment_252,9080,8.67%,
Dungeons,Inscrutable_Quantum_Device_233,9070,8.55%,
Dungeons,Unbound_Changeling_All_242,9061,8.45%,
Dungeons,Empyreal_Ordnance_252,9051,8.33%,
Dungeons,Soulletting_Ruby_229,9050,8.31%,
Dungeons,Unbound_Changeling_Haste_249,9048,8.29%,
Dungeons,Unbound_Changeling_All_239,9044,8.24%,
Dungeons,Unbound_Changeling_Haste_246,9042,8.22%,
Dungeons,Soulletting_Ruby_226,9041,8.21%,
Dungeons,Unbound_Changeling_Mastery_252,9041,8.21%,
Dungeons,Inscrutable_Quantum_Device_229,9038,8.17%,
Dungeons,Unbound_Changeling_Crit_252,9036,8.15%,
Dungeons,Unbound_Changeling_Crit_249,9027,8.04%,
Dungeons,Unbound_Changeling_Haste_242,9026,8.03%,
Dungeons,Forbidden_Necromantic_Tome_246,9021,7.97%,
Dungeons,Empyreal_Ordnance_249,9019,7.94%,
Dungeons,Soulletting_Ruby_223,9018,7.93%,
Dungeons,Unbound_Changeling_Mastery_249,9017,7.92%,
Dungeons,Instructors_Divine_Bell_203,9017,7.92%,
Dungeons,Shadowed_Orb_of_Torment_239,9017,7.92%,
Dungeons,Unbound_Changeling_All_236,9016,7.91%,
Dungeons,Soulletting_Ruby_220,9013,7.87%,
Dungeons,Unbound_Changeling_Haste_239,9012,7.86%,
Dungeons,Titanic_Ocular_Gland_239,9012,7.86%,
Dungeons,Satchel_of_Misbegotten_Minions_252,9011,7.85%,
Dungeons,Tome_of_Monstrous_Constructions_252,9010,7.84%,
Dungeons,Inscrutable_Quantum_Device_226,9009,7.82%,
Dungeons,Inscrutable_Quantum_Device_Only_Opener_252,9009,7.82%,
Dungeons,Unbound_Changeling_Crit_246,9006,7.79%,
Dungeons,Infinitely_Divisible_Ooze_252,9004,7.76%,
Dungeons,Inscrutable_Quantum_Device_Only_Opener_249,9004,7.76%,
Dungeons,Empyreal_Ordnance_246,8999,7.70%,
Dungeons,Cabalists_Hymnal_Allies_4_233,8998,7.69%,
Dungeons,Satchel_of_Misbegotten_Minions_249,8993,7.63%,
Dungeons,Instructors_Divine_Bell_198,8992,7.62%,
Dungeons,Unbound_Changeling_All_233,8990,7.60%,
Dungeons,Unbound_Changeling_Mastery_246,8989,7.58%,
Dungeons,Inscrutable_Quantum_Device_223,8988,7.57%,
Dungeons,Inscrutable_Quantum_Device_Only_Opener_246,8988,7.57%,
Dungeons,Soulletting_Ruby_216,8987,7.56%,
Dungeons,Unchained_Gladiators_Badge_of_Ferocity_246,8987,7.56%,
Dungeons,Sunblood_Amethyst_252,8986,7.55%,
Dungeons,Empyreal_Ordnance_242,8985,7.54%,
Dungeons,Inscrutable_Quantum_Device_220,8984,7.52%,
Dungeons,Unchained_Gladiators_Insignia_of_Alacrity_246,8984,7.52%,
Dungeons,Unbound_Changeling_Haste_236,8983,7.51%,
Dungeons,Unbound_Changeling_Mastery_242,8983,7.51%,
Dungeons,Empyreal_Ordnance_239,8981,7.49%,
Dungeons,Unbound_Changeling_Crit_242,8981,7.49%,
Dungeons,Cabalists_Hymnal_Allies_2_233,8980,7.48%,
Dungeons,Cabalists_Hymnal_Allies_3_233,8980,7.48%,
Dungeons,Satchel_of_Misbegotten_Minions_246,8976,7.43%,
Dungeons,Unbound_Changeling_All_229,8975,7.42%,
Dungeons,Cabalists_Hymnal_Allies_1_233,8975,7.42%,
Dungeons,Ebonsoul_Vise_252,8975,7.42%,
Dungeons,Sunblood_Amethyst_249,8973,7.39%,
Dungeons,Inscrutable_Quantum_Device_Only_Opener_242,8972,7.38%,
Dungeons,Unbound_Changeling_Mastery_239,8971,7.37%,
