profile,actor,DPS,increase,
Dungeons,Scars_of_Fraternal_Strife_285,13101,12.08%,
Dungeons,Unbound_Changeling_All_278,13022,11.40%,
Dungeons,The_First_Sigil_278,13021,11.40%,
Dungeons,Unbound_Changeling_All_275,12983,11.07%,
Dungeons,Scars_of_Fraternal_Strife_272,12969,10.95%,
Dungeons,Architects_Ingenuity_Core_278,12940,10.70%,
Dungeons,Unbound_Changeling_All_272,12936,10.67%,
Dungeons,The_First_Sigil_265,12912,10.46%,
Dungeons,Unbound_Changeling_All_268,12892,10.29%,
Dungeons,Grim_Eclipse_285,12889,10.27%,
Dungeons,Unbound_Changeling_All_265,12877,10.16%,
Dungeons,Scars_of_Fraternal_Strife_259,12875,10.15%,
Dungeons,Unbound_Changeling_Haste_278,12866,10.07%,
Dungeons,Architects_Ingenuity_Core_265,12857,9.99%,
Dungeons,Unbound_Changeling_Haste_275,12848,9.92%,
Dungeons,Unbound_Changeling_Mastery_278,12848,9.92%,
Dungeons,Inscrutable_Quantum_Device_278,12844,9.88%,
Dungeons,Unbound_Changeling_All_262,12839,9.84%,
Dungeons,Unbound_Changeling_Mastery_275,12827,9.74%,
Dungeons,Inscrutable_Quantum_Device_275,12823,9.70%,
Dungeons,Unbound_Changeling_Crit_278,12823,9.70%,
Dungeons,Unbound_Changeling_Haste_272,12822,9.69%,
Dungeons,Elegy_of_the_Eternals_278,12815,9.63%,
Dungeons,The_First_Sigil_252,12814,9.62%,
Dungeons,Unbound_Changeling_All_259,12805,9.55%,
Dungeons,Inscrutable_Quantum_Device_272,12804,9.54%,
Dungeons,Unbound_Changeling_Crit_275,12795,9.46%,
Dungeons,Unbound_Changeling_Mastery_272,12788,9.40%,
Dungeons,Soleahs_Secret_Technique_Haste_278,12785,9.38%,
Dungeons,Architects_Ingenuity_Core_252,12785,9.38%,
Dungeons,Inscrutable_Quantum_Device_268,12778,9.32%,
Dungeons,Empyreal_Ordnance_278,12777,9.31%,
Dungeons,Unbound_Changeling_Haste_268,12768,9.23%,
Dungeons,Soleahs_Secret_Technique_Haste_275,12763,9.19%,
Dungeons,Grim_Eclipse_272,12761,9.17%,
Dungeons,Soulletting_Ruby_278,12758,9.15%,
Dungeons,Inscrutable_Quantum_Device_265,12757,9.14%,
Dungeons,Scars_of_Fraternal_Strife_246,12752,9.09%,
Dungeons,Unbound_Changeling_Crit_272,12751,9.09%,
Dungeons,Infinitely_Divisible_Ooze_278,12747,9.05%,
Dungeons,Empyreal_Ordnance_275,12746,9.04%,
Dungeons,Soleahs_Secret_Technique_Haste_272,12746,9.04%,
Dungeons,Unbound_Changeling_All_255,12746,9.04%,
Dungeons,Satchel_of_Misbegotten_Minions_278,12743,9.02%,
Dungeons,Soleahs_Secret_Technique_Mastery_278,12741,9.00%,
Dungeons,Unbound_Changeling_Mastery_268,12741,9.00%,
Dungeons,Cosmic_Gladiators_Insignia_of_Alacrity_275,12741,9.00%,
Dungeons,Unbound_Changeling_Haste_265,12737,8.97%,
Dungeons,Soulletting_Ruby_272,12736,8.96%,
Dungeons,Soleahs_Secret_Technique_Haste_268,12731,8.91%,
Dungeons,Soulletting_Ruby_275,12726,8.87%,
Dungeons,Infinitely_Divisible_Ooze_275,12722,8.84%,
Dungeons,Unbound_Changeling_Haste_262,12722,8.84%,
Dungeons,Unbound_Changeling_Crit_268,12721,8.83%,
Dungeons,Empyreal_Ordnance_272,12720,8.82%,
Dungeons,Inscrutable_Quantum_Device_259,12718,8.80%,
Dungeons,Soleahs_Secret_Technique_Crit_278,12718,8.80%,
Dungeons,Unbound_Changeling_Mastery_265,12716,8.79%,
Dungeons,The_First_Sigil_239,12715,8.78%,
Dungeons,Inscrutable_Quantum_Device_262,12713,8.76%,
Dungeons,Cosmic_Gladiators_Insignia_of_Alacrity_272,12712,8.75%,
Dungeons,Soleahs_Secret_Technique_Versatility_278,12709,8.73%,
Dungeons,Architects_Ingenuity_Core_239,12708,8.72%,
Dungeons,Satchel_of_Misbegotten_Minions_275,12707,8.71%,
Dungeons,Unbound_Changeling_All_252,12707,8.71%,
Dungeons,Soleahs_Secret_Technique_Mastery_275,12699,8.64%,
Dungeons,Unbound_Changeling_All_249,12699,8.64%,
Dungeons,Soleahs_Secret_Technique_Versatility_275,12695,8.61%,
Dungeons,Unbound_Changeling_Mastery_262,12695,8.61%,
Dungeons,Empyreal_Ordnance_268,12694,8.60%,
Dungeons,Soleahs_Secret_Technique_Mastery_272,12694,8.60%,
Dungeons,Soleahs_Secret_Technique_Crit_275,12692,8.58%,
Dungeons,Elegy_of_the_Eternals_265,12692,8.58%,
Dungeons,Titanic_Ocular_Gland_252,12691,8.57%,
Dungeons,Unbound_Changeling_Crit_265,12690,8.56%,
Dungeons,Sunblood_Amethyst_278,12685,8.52%,
Dungeons,Cosmic_Gladiators_Insignia_of_Alacrity_268,12685,8.52%,
Dungeons,Satchel_of_Misbegotten_Minions_272,12680,8.48%,
Dungeons,Soleahs_Secret_Technique_Versatility_272,12676,8.44%,
Dungeons,Unbound_Changeling_Haste_259,12675,8.44%,
Dungeons,Soleahs_Secret_Technique_Haste_265,12674,8.43%,
Dungeons,Soulletting_Ruby_268,12673,8.42%,
Dungeons,Cosmic_Gladiators_Insignia_of_Alacrity_265,12673,8.42%,
Dungeons,Infinitely_Divisible_Ooze_272,12671,8.40%,
Dungeons,Soleahs_Secret_Technique_Crit_272,12665,8.35%,
Dungeons,Unbound_Changeling_All_246,12665,8.35%,
Dungeons,Empyreal_Ordnance_265,12661,8.32%,
Dungeons,Sunblood_Amethyst_275,12661,8.32%,
Dungeons,Inscrutable_Quantum_Device_255,12660,8.31%,
Dungeons,Unbound_Changeling_Crit_262,12654,8.26%,
Dungeons,Soulletting_Ruby_265,12653,8.25%,
Dungeons,Unbound_Changeling_Haste_255,12653,8.25%,
Dungeons,Inscrutable_Quantum_Device_252,12652,8.24%,
Dungeons,Unbound_Changeling_Mastery_259,12652,8.24%,
Dungeons,Inscrutable_Quantum_Device_Only_Opener_278,12651,8.23%,
Dungeons,Soleahs_Secret_Technique_Haste_262,12651,8.23%,
Dungeons,Soleahs_Secret_Technique_Mastery_268,12651,8.23%,
