profile,actor,DPS,increase,
Dungeons,Satchel_of_Misbegotten_Minions_226,4906,8.95%,
Dungeons,Satchel_of_Misbegotten_Minions_223,4899,8.79%,
Dungeons,Macabre_Sheet_Music_226,4899,8.79%,
Dungeons,Dreadfire_Vessel_233,4894,8.68%,
Dungeons,Satchel_of_Misbegotten_Minions_220,4892,8.64%,
Dungeons,Satchel_of_Misbegotten_Minions_216,4883,8.44%,
Dungeons,Satchel_of_Misbegotten_Minions_213,4875,8.26%,
Dungeons,Satchel_of_Misbegotten_Minions_210,4866,8.06%,
Dungeons,Cabalists_Hymnal_Allies_4_233,4863,7.99%,
Dungeons,Macabre_Sheet_Music_213,4859,7.91%,
Dungeons,Satchel_of_Misbegotten_Minions_207,4857,7.86%,
Dungeons,Sinful_Gladiators_Badge_of_Ferocity_195,4857,7.86%,
Dungeons,Cabalists_Hymnal_Allies_3_233,4853,7.77%,
Dungeons,Satchel_of_Misbegotten_Minions_204,4848,7.66%,
Dungeons,Cabalists_Hymnal_Allies_2_233,4847,7.64%,
Dungeons,Satchel_of_Misbegotten_Minions_203,4844,7.57%,
Dungeons,Soulletting_Ruby_226,4842,7.53%,
Dungeons,Dreadfire_Vessel_220,4839,7.46%,
Dungeons,Satchel_of_Misbegotten_Minions_200,4838,7.44%,
Dungeons,Cabalists_Hymnal_Allies_1_233,4837,7.42%,
Dungeons,Soulletting_Ruby_223,4834,7.35%,
Dungeons,Cabalists_Hymnal_Allies_0_233,4832,7.31%,
Dungeons,Soulletting_Ruby_220,4828,7.22%,
Dungeons,Macabre_Sheet_Music_200,4827,7.20%,
Dungeons,Cabalists_Hymnal_Allies_4_220,4826,7.17%,
Dungeons,Satchel_of_Misbegotten_Minions_197,4822,7.08%,
Dungeons,Sinful_Gladiators_Insignia_of_Alacrity_195,4821,7.06%,
Dungeons,Satchel_of_Misbegotten_Minions_194,4820,7.04%,
Dungeons,Soulletting_Ruby_216,4820,7.04%,
Dungeons,Cabalists_Hymnal_Allies_3_220,4820,7.04%,
Dungeons,Cabalists_Hymnal_Allies_2_220,4814,6.91%,
Dungeons,Soulletting_Ruby_213,4809,6.80%,
Dungeons,Satchel_of_Misbegotten_Minions_190,4808,6.77%,
Dungeons,Satchel_of_Misbegotten_Minions_187,4805,6.71%,
Dungeons,Soulletting_Ruby_210,4805,6.71%,
Dungeons,Cabalists_Hymnal_Allies_1_220,4801,6.62%,
Dungeons,Cabalists_Hymnal_Allies_0_220,4795,6.48%,
Dungeons,Macabre_Sheet_Music_187,4795,6.48%,
Dungeons,Soulletting_Ruby_207,4794,6.46%,
Dungeons,Cabalists_Hymnal_Allies_4_207,4793,6.44%,
Dungeons,Dreadfire_Vessel_207,4793,6.44%,
Dungeons,Satchel_of_Misbegotten_Minions_183,4792,6.42%,
Dungeons,Cabalists_Hymnal_Allies_3_207,4788,6.33%,
Dungeons,Soulletting_Ruby_203,4786,6.28%,
Dungeons,Soulletting_Ruby_204,4783,6.22%,
Dungeons,Soulletting_Ruby_200,4782,6.20%,
Dungeons,Cabalists_Hymnal_Allies_2_207,4777,6.08%,
Dungeons,Sinful_Aspirants_Insignia_of_Alacrity_175,4773,6.00%,
Dungeons,Soulletting_Ruby_197,4771,5.95%,
Dungeons,Cabalists_Hymnal_Allies_1_207,4771,5.95%,
Dungeons,Cabalists_Hymnal_Allies_0_207,4765,5.82%,
Dungeons,Cabalists_Hymnal_Allies_4_194,4765,5.82%,
Dungeons,Soulletting_Ruby_194,4764,5.80%,
Dungeons,Satchel_of_Misbegotten_Minions_170,4763,5.77%,
Dungeons,Darkmoon_Deck_Putrescence_200,4762,5.75%,
Dungeons,Sinful_Aspirants_Badge_of_Ferocity_175,4761,5.73%,
Dungeons,Soulletting_Ruby_190,4759,5.69%,
