profile,actor,DPS,increase,
Single,Empyreal_Ordnance_252,8352,10.33%,
Single,Empyreal_Ordnance_249,8334,10.10%,
Single,Soulletting_Ruby_252,8327,10.01%,
Single,Soulletting_Ruby_249,8318,9.88%,
Single,Tome_of_Insight_233,8316,9.86%,
Single,Empyreal_Ordnance_246,8316,9.86%,
Single,Soulletting_Ruby_246,8296,9.60%,
Single,Inscrutable_Quantum_Device_252,8290,9.52%,
Single,Empyreal_Ordnance_242,8290,9.51%,
Single,Tome_of_Insight_226,8284,9.43%,
Single,Inscrutable_Quantum_Device_249,8279,9.37%,
Single,Soulletting_Ruby_242,8278,9.35%,
Single,Empyreal_Ordnance_239,8273,9.29%,
Single,Unbound_Changeling_All_252,8272,9.28%,
Single,Soulletting_Ruby_239,8260,9.12%,
Single,Empyreal_Ordnance_236,8257,9.08%,
Single,Unbound_Changeling_All_249,8255,9.06%,
Single,Tome_of_Insight_220,8254,9.04%,
Single,Forbidden_Necromantic_Tome_259,8253,9.03%,
Single,Inscrutable_Quantum_Device_246,8252,9.02%,
Single,Soulletting_Ruby_236,8245,8.93%,
Single,Empyreal_Ordnance_233,8245,8.92%,
Single,Unbound_Changeling_All_246,8234,8.77%,
Single,Soulletting_Ruby_233,8230,8.73%,
Single,Inscrutable_Quantum_Device_242,8229,8.71%,
Single,Unbound_Changeling_Mastery_252,8218,8.56%,
Single,Tome_of_Insight_213,8217,8.56%,
Single,Inscrutable_Quantum_Device_239,8213,8.49%,
Single,Unbound_Changeling_All_242,8211,8.47%,
Single,Empyreal_Ordnance_226,8206,8.41%,
Single,Inscrutable_Quantum_Device_236,8202,8.35%,
Single,Tome_of_Monstrous_Constructions_252,8201,8.34%,
Single,Unbound_Changeling_Mastery_249,8199,8.32%,
Single,Unbound_Changeling_Crit_252,8198,8.29%,
Single,Infinitely_Divisible_Ooze_252,8196,8.28%,
Single,Soulletting_Ruby_226,8196,8.28%,
Single,Unbound_Changeling_All_239,8192,8.23%,
Single,Titanic_Ocular_Gland_252,8191,8.21%,
Single,Empyreal_Ordnance_223,8190,8.20%,
Single,Tome_of_Insight_207,8190,8.20%,
Single,Forbidden_Necromantic_Tome_246,8187,8.15%,
Single,Cabalists_Hymnal_Allies_4_233,8186,8.14%,
Single,Inscrutable_Quantum_Device_233,8185,8.13%,
Single,Unbound_Changeling_Crit_249,8184,8.11%,
Single,Unbound_Changeling_Mastery_246,8183,8.10%,
Single,Unbound_Changeling_Haste_252,8182,8.09%,
Single,Soulletting_Ruby_223,8180,8.06%,
Single,Infinitely_Divisible_Ooze_249,8175,8.00%,
Single,Soulletting_Ruby_220,8174,7.98%,
Single,Empyreal_Ordnance_220,8173,7.98%,
Single,Unbound_Changeling_All_236,8172,7.95%,
Single,Cabalists_Hymnal_Allies_3_233,8171,7.94%,
Single,Unbound_Changeling_Crit_246,8167,7.89%,
Single,Ebonsoul_Vise_252,8167,7.89%,
Single,Unbound_Changeling_Haste_249,8166,7.88%,
Single,Unbound_Changeling_Mastery_242,8163,7.83%,
Single,Tome_of_Insight_200,8160,7.80%,
Single,Satchel_of_Misbegotten_Minions_252,8160,7.80%,
Single,Inscrutable_Quantum_Device_226,8160,7.80%,
Single,Cabalists_Hymnal_Allies_2_233,8159,7.79%,
Single,Soulletting_Ruby_216,8156,7.75%,
Single,Unbound_Changeling_All_233,8155,7.73%,
Single,Empyreal_Ordnance_216,8155,7.73%,
Single,Infinitely_Divisible_Ooze_246,8154,7.72%,
Single,Unbound_Changeling_Haste_246,8151,7.68%,
Single,Satchel_of_Misbegotten_Minions_249,8149,7.65%,
Single,Cabalists_Hymnal_Allies_1_233,8146,7.61%,
Single,Inscrutable_Quantum_Device_223,8145,7.60%,
Single,Unbound_Changeling_Mastery_239,8144,7.58%,
Single,Unbound_Changeling_Crit_242,8143,7.58%,
Single,Empyreal_Ordnance_213,8142,7.55%,
Single,Soulletting_Ruby_213,8139,7.52%,
Single,Sunblood_Amethyst_252,8138,7.51%,
Single,Cabalists_Hymnal_Allies_0_233,8135,7.46%,
Single,Inscrutable_Quantum_Device_220,8134,7.46%,
Single,Infinitely_Divisible_Ooze_242,8133,7.44%,
Single,Cabalists_Hymnal_Allies_4_220,8131,7.41%,
Single,Unbound_Changeling_Haste_242,8130,7.40%,
Single,Titanic_Ocular_Gland_239,8130,7.40%,
Single,Forbidden_Necromantic_Tome_233,8129,7.39%,
Single,Unbound_Changeling_Crit_239,8128,7.37%,
Single,Sunblood_Amethyst_249,8127,7.36%,
Single,Soulletting_Ruby_209,8125,7.33%,
Single,Unbound_Changeling_Mastery_236,8124,7.32%,
Single,Satchel_of_Misbegotten_Minions_246,8121,7.29%,
Single,Empyreal_Ordnance_209,8121,7.29%,
Single,Glyph_of_Assimilation_226,8121,7.28%,
Single,Cabalists_Hymnal_Allies_3_220,8119,7.26%,
Single,Inscrutable_Quantum_Device_216,8119,7.25%,
Single,Unbound_Changeling_All_226,8119,7.25%,
Single,Dreadfire_Vessel_233,8118,7.25%,
Single,Tome_of_Monstrous_Constructions_239,8116,7.22%,
Single,Inscrutable_Quantum_Device_Only_Opener_252,8114,7.20%,
Single,Unbound_Changeling_Haste_239,8114,7.19%,
Single,Unbound_Changeling_Crit_236,8112,7.17%,
Single,Infinitely_Divisible_Ooze_239,8112,7.16%,
Single,Inscrutable_Quantum_Device_213,8111,7.16%,
Single,Unbound_Changeling_Mastery_233,8110,7.14%,
Single,Inscrutable_Quantum_Device_Only_Opener_249,8110,7.14%,
Single,Inscrutable_Quantum_Device_209,8109,7.13%,
Single,Sunblood_Amethyst_246,8109,7.13%,
Single,Cabalists_Hymnal_Allies_2_220,8106,7.09%,
Single,Satchel_of_Misbegotten_Minions_242,8106,7.08%,
Single,Macabre_Sheet_Music_226,8101,7.02%,
Single,Unbound_Changeling_Haste_236,8100,7.00%,
Single,Unbound_Changeling_All_223,8100,7.00%,
Single,Infinitely_Divisible_Ooze_236,8094,6.93%,
Single,Unbound_Changeling_Crit_233,8094,6.93%,
Single,Sunblood_Amethyst_242,8094,6.92%,
Single,Cabalists_Hymnal_Allies_1_220,8093,6.91%,
Single,Satchel_of_Misbegotten_Minions_239,8088,6.85%,
Single,Ebonsoul_Vise_239,8086,6.83%,
Single,Unbound_Changeling_All_220,8085,6.81%,
Single,Cabalists_Hymnal_Allies_0_220,8085,6.80%,
Single,Unbound_Changeling_Haste_233,8085,6.80%,
Single,Soul_Cage_Fragment_233,8083,6.79%,
Single,Instructors_Divine_Bell_203,8083,6.78%,
Single,Inscrutable_Quantum_Device_Only_Opener_246,8081,6.75%,
Single,Sunblood_Amethyst_239,8080,6.74%,
Single,Unbound_Changeling_Mastery_226,8078,6.71%,
Single,Cabalists_Hymnal_Allies_4_207,8078,6.71%,
Single,Infinitely_Divisible_Ooze_233,8075,6.67%,
Single,Forbidden_Necromantic_Tome_220,8074,6.66%,
Single,Titanic_Ocular_Gland_226,8072,6.63%,
Single,Unchained_Gladiators_Badge_of_Ferocity_220,8070,6.61%,
Single,Unbound_Changeling_All_216,8069,6.60%,
Single,Cabalists_Hymnal_Allies_3_207,8069,6.59%,
Single,Sunblood_Amethyst_236,8068,6.59%,
Single,Satchel_of_Misbegotten_Minions_236,8068,6.58%,
Single,Instructors_Divine_Bell_198,8068,6.58%,
Single,Unbound_Changeling_Crit_226,8063,6.51%,
Single,Inscrutable_Quantum_Device_Only_Opener_242,8061,6.49%,
Single,Unbound_Changeling_Mastery_223,8060,6.48%,
Single,Cabalists_Hymnal_Allies_2_207,8057,6.44%,
Single,Flame_of_Battle_203,8056,6.42%,
Single,Sunblood_Amethyst_233,8054,6.40%,
Single,Unbound_Changeling_All_213,8053,6.39%,
Single,Unbound_Changeling_Haste_226,8052,6.37%,
Single,Instructors_Divine_Bell_194,8052,6.37%,
Single,Satchel_of_Misbegotten_Minions_233,8051,6.36%,
Single,Energy_Siphon_200,8050,6.35%,
Single,Unbound_Changeling_Mastery_220,8050,6.35%,
Single,Inscrutable_Quantum_Device_Only_Opener_239,8049,6.33%,
Single,Unchained_Gladiators_Badge_of_Ferocity_214,8048,6.32%,
Single,Macabre_Sheet_Music_213,8048,6.31%,
Single,Cabalists_Hymnal_Allies_1_207,8046,6.29%,
Single,Unbound_Changeling_Crit_223,8046,6.29%,
Single,Unbound_Changeling_Haste_223,8042,6.24%,
Single,Inscrutable_Quantum_Device_Only_Opener_236,8042,6.24%,
Single,Dreadfire_Vessel_220,8042,6.24%,
Single,Overflowing_Anima_Prison_252,8042,6.24%,
Single,Tome_of_Monstrous_Constructions_226,8042,6.23%,
Single,Flame_of_Battle_198,8040,6.22%,
Single,Glyph_of_Assimilation_213,8040,6.22%,
Single,Soul_Igniter_226,8038,6.19%,
Single,Unbound_Changeling_All_209,8036,6.16%,
Single,Infinitely_Divisible_Ooze_226,8035,6.14%,
Single,Cabalists_Hymnal_Allies_0_207,8035,6.14%,
Single,Unbound_Changeling_Crit_220,8034,6.14%,
Single,Instructors_Divine_Bell_190,8034,6.13%,
Single,Overflowing_Anima_Prison_249,8033,6.13%,
Single,Unbound_Changeling_Mastery_216,8032,6.11%,
Single,Miniscule_Mailemental_in_an_Envelope_233,8029,6.07%,
Single,Inscrutable_Quantum_Device_Only_Opener_233,8029,6.07%,
Single,Cabalists_Hymnal_Allies_4_194,8026,6.03%,
Single,Sunblood_Amethyst_226,8025,6.02%,
