profile,actor,DPS,increase,
Single,Soulletting_Ruby_226,4963,9.21%,
Single,Cabalists_Hymnal_Allies_4_233,4956,9.05%,
Single,Soulletting_Ruby_223,4952,8.96%,
Single,Cabalists_Hymnal_Allies_3_233,4949,8.90%,
Single,Soulletting_Ruby_220,4943,8.77%,
Single,Cabalists_Hymnal_Allies_2_233,4941,8.72%,
Single,Soulletting_Ruby_216,4934,8.58%,
Single,Cabalists_Hymnal_Allies_1_233,4934,8.56%,
Single,Inscrutable_Quantum_Device_226,4930,8.48%,
Single,Soulletting_Ruby_213,4928,8.44%,
Single,Dreadfire_Vessel_233,4925,8.38%,
Single,Cabalists_Hymnal_Allies_0_233,4925,8.38%,
Single,Glyph_of_Assimilation_226,4924,8.36%,
Single,Unbound_Changeling_All_226,4919,8.24%,
Single,Inscrutable_Quantum_Device_223,4918,8.22%,
Single,Soulletting_Ruby_210,4918,8.21%,
Single,Cabalists_Hymnal_Allies_4_220,4916,8.17%,
Single,Inscrutable_Quantum_Device_220,4911,8.06%,
Single,Cabalists_Hymnal_Allies_3_220,4909,8.02%,
Single,Empyreal_Ordnance_226,4908,8.00%,
Single,Soulletting_Ruby_207,4908,7.99%,
Single,Soul_Igniter_226,4907,7.97%,
Single,Unbound_Changeling_All_223,4906,7.94%,
Single,Sinful_Gladiators_Insignia_of_Alacrity_226,4903,7.88%,
Single,Cabalists_Hymnal_Allies_2_220,4902,7.87%,
Single,Inscrutable_Quantum_Device_216,4901,7.85%,
Single,Soulletting_Ruby_203,4900,7.81%,
Single,Macabre_Sheet_Music_226,4898,7.78%,
Single,Unbound_Changeling_All_220,4897,7.76%,
Single,Empyreal_Ordnance_223,4897,7.76%,
Single,Inscrutable_Quantum_Device_213,4894,7.69%,
Single,Cabalists_Hymnal_Allies_1_220,4894,7.69%,
Single,Empyreal_Ordnance_220,4891,7.63%,
Single,Soulletting_Ruby_200,4890,7.61%,
Single,Sinful_Gladiators_Insignia_of_Alacrity_220,4888,7.56%,
Single,Cabalists_Hymnal_Allies_0_220,4887,7.54%,
Single,Inscrutable_Quantum_Device_210,4886,7.52%,
Single,Unbound_Changeling_All_216,4886,7.51%,
Single,Unbound_Changeling_Crit_226,4885,7.50%,
Single,Unbound_Changeling_Haste_226,4883,7.44%,
Single,Soulletting_Ruby_197,4881,7.40%,
Single,Cabalists_Hymnal_Allies_4_207,4881,7.40%,
Single,Empyreal_Ordnance_216,4877,7.32%,
Single,Satchel_of_Misbegotten_Minions_226,4877,7.32%,
Single,Unbound_Changeling_All_213,4876,7.29%,
Single,Inscrutable_Quantum_Device_207,4876,7.29%,
Single,Unbound_Changeling_Crit_223,4876,7.28%,
Single,Unbound_Changeling_Mastery_226,4875,7.28%,
Single,Soulletting_Ruby_194,4875,7.26%,
Single,Cabalists_Hymnal_Allies_3_207,4874,7.26%,
Single,Sinful_Gladiators_Insignia_of_Alacrity_213,4874,7.24%,
Single,Glyph_of_Assimilation_213,4873,7.23%,
Single,Unbound_Changeling_Haste_223,4873,7.22%,
Single,Empyreal_Ordnance_213,4872,7.21%,
Single,Infinitely_Divisible_Ooze_226,4871,7.18%,
Single,Inscrutable_Quantum_Device_203,4870,7.15%,
Single,Dreadfire_Vessel_220,4868,7.11%,
Single,Cabalists_Hymnal_Allies_2_207,4867,7.09%,
Single,Unbound_Changeling_Crit_220,4866,7.07%,
Single,Unbound_Changeling_All_210,4866,7.06%,
Single,Macabre_Sheet_Music_213,4864,7.04%,
Single,Satchel_of_Misbegotten_Minions_223,4863,7.02%,
Single,Unbound_Changeling_Haste_220,4863,7.01%,
Single,Unbound_Changeling_Mastery_223,4863,7.00%,
Single,Inscrutable_Quantum_Device_200,4862,7.00%,
Single,Empyreal_Ordnance_210,4862,6.98%,
Single,Soulletting_Ruby_190,4861,6.98%,
Single,Cabalists_Hymnal_Allies_1_207,4861,6.97%,
Single,Soul_Igniter_213,4859,6.92%,
Single,Sinful_Gladiators_Insignia_of_Alacrity_207,4859,6.92%,
Single,Infinitely_Divisible_Ooze_223,4858,6.89%,
Single,Sunblood_Amethyst_226,4857,6.87%,
Single,Unbound_Changeling_All_207,4857,6.87%,
Single,Unbound_Changeling_Crit_216,4856,6.85%,
Single,Unbound_Changeling_Mastery_220,4855,6.84%,
Single,Soulletting_Ruby_187,4855,6.83%,
Single,Satchel_of_Misbegotten_Minions_220,4854,6.82%,
Single,Cabalists_Hymnal_Allies_0_207,4854,6.81%,
Single,Empyreal_Ordnance_207,4854,6.81%,
Single,Inscrutable_Quantum_Device_197,4854,6.80%,
Single,Unbound_Changeling_Haste_216,4853,6.79%,
Single,Sunblood_Amethyst_223,4850,6.72%,
Single,Cabalists_Hymnal_Allies_4_194,4849,6.71%,
Single,Sinful_Gladiators_Badge_of_Ferocity_226,4849,6.70%,
Single,Unbound_Changeling_Crit_213,4849,6.69%,
Single,Soulletting_Ruby_184,4848,6.67%,
Single,Infinitely_Divisible_Ooze_220,4847,6.66%,
Single,Inscrutable_Quantum_Device_194,4847,6.65%,
Single,Empyreal_Ordnance_203,4847,6.65%,
Single,Unbound_Changeling_All_203,4846,6.63%,
Single,Sinful_Gladiators_Insignia_of_Alacrity_200,4846,6.63%,
Single,Unbound_Changeling_Mastery_216,4845,6.60%,
Single,Sunblood_Amethyst_220,4844,6.59%,
Single,Unbound_Changeling_Haste_213,4844,6.59%,
Single,Satchel_of_Misbegotten_Minions_216,4843,6.56%,
Single,Cabalists_Hymnal_Allies_3_194,4842,6.54%,
Single,Unbound_Changeling_Crit_210,4840,6.51%,
Single,Infinitely_Divisible_Ooze_216,4838,6.46%,
Single,Empyreal_Ordnance_200,4838,6.45%,
Single,Unbound_Changeling_Haste_210,4838,6.45%,
Single,Unbound_Changeling_Mastery_213,4838,6.45%,
Single,Cabalists_Hymnal_Allies_2_194,4837,6.44%,
Single,Sinful_Gladiators_Badge_of_Ferocity_220,4836,6.42%,
Single,Unbound_Changeling_All_200,4836,6.42%,
Single,Sunblood_Amethyst_216,4835,6.38%,
Single,Inscrutable_Quantum_Device_190,4834,6.38%,
Single,Macabre_Sheet_Music_200,4834,6.37%,
Single,Satchel_of_Misbegotten_Minions_213,4833,6.35%,
Single,Cabalists_Hymnal_Allies_1_194,4832,6.33%,
Single,Infinitely_Divisible_Ooze_213,4831,6.30%,
Single,Sunblood_Amethyst_213,4831,6.29%,
Single,Unbound_Changeling_Mastery_210,4830,6.29%,
Single,Inscrutable_Quantum_Device_187,4830,6.28%,
Single,Empyreal_Ordnance_197,4830,6.28%,
Single,Unbound_Changeling_All_197,4830,6.27%,
Single,Unbound_Changeling_Crit_207,4828,6.24%,
Single,Unbound_Changeling_Haste_207,4827,6.22%,
Single,Cabalists_Hymnal_Allies_0_194,4825,6.18%,
Single,Satchel_of_Misbegotten_Minions_210,4825,6.17%,
Single,Sunblood_Amethyst_210,4824,6.15%,
Single,Empyreal_Ordnance_194,4824,6.15%,
Single,Glyph_of_Assimilation_200,4823,6.12%,
Single,Sinful_Gladiators_Badge_of_Ferocity_213,4823,6.12%,
Single,Dreadfire_Vessel_207,4822,6.12%,
Single,Inscrutable_Quantum_Device_184,4822,6.10%,
Single,Sinful_Gladiators_Insignia_of_Alacrity_190,4822,6.10%,
Single,Unbound_Changeling_All_194,4821,6.09%,
Single,Darkmoon_Deck_Putrescence_200,4821,6.09%,
Single,Sinful_Aspirants_Insignia_of_Alacrity_190,4821,6.08%,
Single,Infinitely_Divisible_Ooze_210,4821,6.08%,
Single,Unbound_Changeling_Crit_203,4820,6.06%,
Single,Unbound_Changeling_Haste_203,4819,6.05%,
Single,Unbound_Changeling_Mastery_207,4819,6.04%,
Single,Sunblood_Amethyst_207,4818,6.02%,
Single,Soulletting_Ruby_171,4817,5.99%,
Single,Soul_Igniter_200,4813,5.91%,
Single,Empyreal_Ordnance_190,4813,5.90%,
Single,Sunblood_Amethyst_203,4812,5.89%,
Single,Satchel_of_Misbegotten_Minions_207,4811,5.87%,
Single,Unbound_Changeling_Crit_200,4811,5.87%,
Single,Unbound_Changeling_Mastery_203,4811,5.86%,
Single,Unbound_Changeling_All_190,4810,5.85%,
Single,Unbound_Changeling_Haste_200,4810,5.84%,
Single,Overflowing_Anima_Prison_226,4810,5.84%,
Single,Sinful_Gladiators_Badge_of_Ferocity_207,4810,5.83%,
Single,Sinful_Aspirants_Insignia_of_Alacrity_184,4809,5.82%,
Single,Empyreal_Ordnance_187,4807,5.78%,
Single,Infinitely_Divisible_Ooze_207,4807,5.78%,
Single,Unbound_Changeling_Crit_197,4806,5.75%,
Single,Macabre_Sheet_Music_187,4804,5.71%,
Single,Unbound_Changeling_Haste_197,4804,5.71%,
Single,Overflowing_Anima_Prison_223,4804,5.71%,
Single,Unbound_Changeling_Mastery_200,4804,5.70%,
Single,Unbound_Changeling_All_187,4802,5.68%,
Single,Satchel_of_Misbegotten_Minions_203,4802,5.67%,
Single,Sunblood_Amethyst_200,4802,5.66%,
Single,Sinful_Aspirants_Badge_of_Ferocity_190,4800,5.63%,
Single,Empyreal_Ordnance_184,4799,5.61%,
Single,Infinitely_Divisible_Ooze_203,4798,5.58%,
Single,Overflowing_Anima_Prison_220,4798,5.57%,
Single,Unbound_Changeling_Haste_194,4797,5.55%,
Single,Unbound_Changeling_Crit_194,4796,5.53%,
Single,Unbound_Changeling_All_184,4795,5.51%,
Single,Unbound_Changeling_Mastery_197,4794,5.50%,
Single,Sinful_Aspirants_Insignia_of_Alacrity_177,4794,5.50%,
Single,Sinful_Gladiators_Badge_of_Ferocity_200,4794,5.48%,
Single,Inscrutable_Quantum_Device_171,4793,5.48%,
Single,Satchel_of_Misbegotten_Minions_200,4793,5.47%,
Single,Overflowing_Anima_Prison_216,4791,5.42%,
Single,Sinful_Aspirants_Badge_of_Ferocity_184,4790,5.41%,
Single,Sunblood_Amethyst_197,4790,5.41%,
Single,Infinitely_Divisible_Ooze_200,4789,5.39%,
Single,Soulletting_Ruby_158,4789,5.38%,
Single,Unbound_Changeling_Mastery_194,4789,5.38%,
Single,Sunblood_Amethyst_194,4789,5.37%,
Single,Unbound_Changeling_Haste_190,4787,5.34%,
Single,Dreadfire_Vessel_194,4785,5.28%,
Single,Overflowing_Anima_Prison_213,4785,5.28%,
Single,Unbound_Changeling_Crit_190,4784,5.28%,
Single,Sinful_Aspirants_Insignia_of_Alacrity_171,4783,5.25%,
Single,Satchel_of_Misbegotten_Minions_197,4783,5.24%,
Single,Glyph_of_Assimilation_187,4781,5.21%,
Single,Unbound_Changeling_Haste_187,4781,5.19%,
Single,Infinitely_Divisible_Ooze_197,4780,5.18%,
Single,Unbound_Changeling_Crit_187,4779,5.15%,
Single,Overflowing_Anima_Prison_210,4778,5.14%,
Single,Unbound_Changeling_Mastery_190,4778,5.13%,
Single,Sunblood_Amethyst_190,4777,5.12%,
Single,Sinful_Gladiators_Badge_of_Ferocity_190,4776,5.10%,
Single,Sinful_Aspirants_Badge_of_Ferocity_177,4776,5.09%,
Single,Unbound_Changeling_Crit_184,4774,5.06%,
Single,Satchel_of_Misbegotten_Minions_194,4774,5.05%,
Single,Unbound_Changeling_Haste_184,4774,5.05%,
Single,Unbound_Changeling_Mastery_187,4773,5.02%,
Single,Empyreal_Ordnance_171,4772,5.02%,
Single,Inscrutable_Quantum_Device_158,4772,5.00%,
Single,Overflowing_Anima_Prison_207,4772,5.00%,
Single,Sunblood_Amethyst_187,4772,5.00%,
Single,Infinitely_Divisible_Ooze_194,4770,4.97%,
Single,Soul_Igniter_187,4770,4.97%,
Single,Sunblood_Amethyst_184,4767,4.90%,
Single,Sinful_Aspirants_Insignia_of_Alacrity_164,4766,4.87%,
Single,Wakeners_Frond_164,4766,4.86%,
Single,Overflowing_Anima_Prison_203,4765,4.86%,
Single,Unbound_Changeling_All_171,4765,4.85%,
Single,Sinful_Aspirants_Badge_of_Ferocity_171,4765,4.84%,
Single,Unbound_Changeling_Mastery_184,4763,4.81%,
Single,Satchel_of_Misbegotten_Minions_190,4763,4.80%,
Single,Wakeners_Frond_161,4760,4.74%,
Single,Overflowing_Anima_Prison_200,4760,4.73%,
Single,Infinitely_Divisible_Ooze_190,4759,4.72%,
Single,Satchel_of_Misbegotten_Minions_187,4757,4.67%,
Single,Sinful_Aspirants_Insignia_of_Alacrity_158,4757,4.67%,
Single,Infinitely_Divisible_Ooze_187,4753,4.60%,
Single,Agithas_Void_Tinged_Speartip_164,4753,4.58%,
Single,Newcomers_Gladiatorial_Badge_164,4753,4.58%,
Single,Overflowing_Anima_Prison_197,4753,4.58%,
Single,Sinful_Aspirants_Badge_of_Ferocity_164,4751,4.54%,
Single,Unbound_Changeling_Haste_171,4749,4.50%,
Single,Empyreal_Ordnance_158,4749,4.50%,
Single,Newcomers_Gladiatorial_Badge_161,4749,4.49%,
Single,Agithas_Void_Tinged_Speartip_161,4748,4.49%,
Single,Sunblood_Amethyst_171,4748,4.48%,
Single,Overflowing_Anima_Prison_194,4748,4.47%,
Single,Satchel_of_Misbegotten_Minions_184,4748,4.47%,
Single,Misfiring_Centurion_Controller_164,4747,4.45%,
Single,Unbound_Changeling_Crit_171,4746,4.43%,
Single,Infinitely_Divisible_Ooze_184,4745,4.41%,
Single,Ascended_Defenders_Crest_164,4743,4.37%,
Single,Misfiring_Centurion_Controller_161,4743,4.37%,
Single,Vial_of_Caustic_Liquid_164,4742,4.34%,
Single,Sinful_Aspirants_Badge_of_Ferocity_158,4740,4.31%,
Single,Unbound_Changeling_All_158,4740,4.31%,
Single,Spiritual_Alchemy_Stone_168,4740,4.30%,
Single,Book_Borrower_Identification_164,4739,4.29%,
Single,Primalists_Kelpling_164,4739,4.27%,
Single,Ascended_Defenders_Crest_161,4738,4.26%,
Single,Overflowing_Anima_Prison_190,4738,4.26%,
Single,Spiritual_Alchemy_Stone_165,4738,4.26%,
Single,Vial_of_Caustic_Liquid_161,4738,4.25%,
Single,Book_Borrower_Identification_161,4737,4.24%,
Single,Unbound_Changeling_Mastery_171,4737,4.23%,
Single,Overflowing_Anima_Prison_187,4734,4.17%,
Single,Primalists_Kelpling_161,4734,4.17%,
Single,Withergrove_Shardling_164,4732,4.12%,
Single,Elders_Stormseed_164,4731,4.10%,
Single,Sunblood_Amethyst_158,4730,4.09%,
Single,Satchel_of_Misbegotten_Minions_171,4729,4.07%,
Single,Withergrove_Shardling_161,4729,4.07%,
Single,Elders_Stormseed_161,4729,4.06%,
Single,Overflowing_Anima_Prison_184,4729,4.05%,
Single,Infinitely_Divisible_Ooze_171,4727,4.02%,
Single,Unbound_Changeling_Crit_158,4724,3.96%,
Single,Unbound_Changeling_Haste_158,4723,3.92%,
