profile,actor,DPS,increase,
Single,Shadowed_Orb_of_Torment_304,18114,14.30%,
Single,Scars_of_Fraternal_Strife_311,18039,13.83%,
Single,Shadowed_Orb_of_Torment_291,17928,13.12%,
Single,Scars_of_Fraternal_Strife_297,17920,13.07%,
Single,Scars_of_Fraternal_Strife_285,17806,12.35%,
Single,Shadowed_Orb_of_Torment_278,17764,12.09%,
Single,Cabalists_Hymnal_Allies_4_311,17762,12.08%,
Single,Cabalists_Hymnal_Allies_3_311,17714,11.77%,
Single,Moonlit_Prism_298,17694,11.65%,
Single,Scars_of_Fraternal_Strife_272,17681,11.57%,
Single,Cabalists_Hymnal_Allies_2_311,17681,11.57%,
Single,Cabalists_Hymnal_Allies_1_311,17634,11.27%,
Single,The_First_Sigil_304,17625,11.21%,
Single,Shadowed_Orb_of_Torment_265,17608,11.11%,
Single,Cabalists_Hymnal_Allies_0_311,17600,11.06%,
Single,Cabalists_Hymnal_Allies_4_297,17587,10.98%,
Single,Cabalists_Hymnal_Allies_3_297,17551,10.74%,
Single,Cabalists_Hymnal_Allies_2_297,17504,10.45%,
Single,The_First_Sigil_291,17493,10.38%,
Single,Glyph_of_Assimilation_304,17474,10.26%,
Single,Cabalists_Hymnal_Allies_1_297,17473,10.25%,
Single,Tome_of_Monstrous_Constructions_304,17462,10.18%,
Single,Cabalists_Hymnal_Allies_4_285,17450,10.10%,
Single,Unbound_Changeling_All_278,17450,10.10%,
Single,Grim_Eclipse_311,17447,10.09%,
Single,Tovras_Lightning_Repository_304,17446,10.08%,
Single,Cabalists_Hymnal_Allies_0_297,17430,9.98%,
Single,Soul_Cage_Fragment_285,17423,9.94%,
Single,Macabre_Sheet_Music_304,17419,9.91%,
Single,Cabalists_Hymnal_Allies_3_285,17417,9.90%,
Single,Tovras_Lightning_Repository_301,17414,9.88%,
Single,Forbidden_Necromantic_Tome_311,17411,9.86%,
Single,Titanic_Ocular_Gland_304,17398,9.78%,
Single,Cabalists_Hymnal_Allies_2_285,17384,9.69%,
Single,Tovras_Lightning_Repository_298,17376,9.64%,
Single,Soleahs_Secret_Technique_Mastery_304,17367,9.59%,
Single,Unbound_Changeling_All_272,17366,9.58%,
Single,The_First_Sigil_278,17362,9.55%,
Single,Ebonsoul_Vise_304,17356,9.51%,
Single,Cabalists_Hymnal_Allies_1_285,17353,9.50%,
Single,Tovras_Lightning_Repository_294,17338,9.40%,
Single,Soleahs_Secret_Technique_Mastery_301,17330,9.35%,
Single,Cabalists_Hymnal_Allies_4_272,17324,9.31%,
Single,Fleshrenders_Meathook_304,17321,9.29%,
Single,Cabalists_Hymnal_Allies_0_285,17312,9.24%,
Single,Dreadfire_Vessel_311,17311,9.23%,
Single,Tovras_Lightning_Repository_291,17308,9.21%,
Single,Soleahs_Secret_Technique_Crit_304,17301,9.17%,
Single,Soleahs_Secret_Technique_Mastery_298,17297,9.14%,
Single,Elegy_of_the_Eternals_304,17292,9.11%,
Single,Fleshrenders_Meathook_301,17291,9.11%,
Single,Cabalists_Hymnal_Allies_3_272,17288,9.09%,
Single,Unbound_Changeling_Mastery_278,17286,9.07%,
Single,Macabre_Sheet_Music_291,17280,9.03%,
Single,Tovras_Lightning_Repository_288,17275,9.00%,
Single,Soleahs_Secret_Technique_Crit_301,17273,8.99%,
Single,Fleshrenders_Meathook_298,17270,8.97%,
Single,Forbidden_Necromantic_Tome_297,17268,8.96%,
Single,Soleahs_Secret_Technique_Mastery_294,17266,8.95%,
Single,Grim_Eclipse_297,17257,8.89%,
Single,Glyph_of_Assimilation_291,17256,8.88%,
Single,Cabalists_Hymnal_Allies_2_272,17254,8.87%,
Single,Titanic_Ocular_Gland_291,17249,8.84%,
Single,Tome_of_Monstrous_Constructions_291,17246,8.82%,
Single,Tovras_Lightning_Repository_285,17246,8.82%,
Single,Stormsinger_Fulmination_Charge_298,17242,8.80%,
Single,Soleahs_Secret_Technique_Haste_304,17236,8.76%,
Single,Fleshrenders_Meathook_294,17235,8.75%,
Single,The_First_Sigil_265,17234,8.74%,
Single,Soleahs_Secret_Technique_Crit_298,17233,8.74%,
Single,Soleahs_Secret_Technique_Mastery_291,17230,8.72%,
Single,Soleahs_Secret_Technique_Versatility_304,17220,8.66%,
Single,Cabalists_Hymnal_Allies_1_272,17216,8.63%,
Single,Soulletting_Ruby_278,17214,8.62%,
Single,Unbound_Changeling_Mastery_272,17210,8.59%,
Single,Tovras_Lightning_Repository_281,17209,8.59%,
Single,Soleahs_Secret_Technique_Haste_301,17204,8.55%,
Single,Soleahs_Secret_Technique_Crit_294,17203,8.55%,
Single,Soleahs_Secret_Technique_Mastery_288,17203,8.55%,
Single,Soul_Igniter_304,17202,8.54%,
Single,Fleshrenders_Meathook_291,17198,8.52%,
Single,Soleahs_Secret_Technique_Versatility_301,17191,8.47%,
Single,Infernal_Writ_298,17190,8.47%,
Single,Cabalists_Hymnal_Allies_0_272,17186,8.44%,
Single,Tovras_Lightning_Repository_278,17184,8.43%,
Single,Deteriorated_Construct_Core_304,17184,8.43%,
Single,Fleshrenders_Meathook_288,17179,8.40%,
Single,Soleahs_Secret_Technique_Crit_291,17170,8.34%,
Single,Soulletting_Ruby_272,17168,8.33%,
Single,Soleahs_Secret_Technique_Mastery_285,17167,8.33%,
Single,Soleahs_Secret_Technique_Haste_298,17165,8.31%,
Single,Macabre_Sheet_Music_278,17165,8.31%,
Single,Soleahs_Secret_Technique_Versatility_298,17160,8.28%,
Single,Ebonsoul_Vise_291,17155,8.25%,
Single,Fleshrenders_Meathook_285,17154,8.24%,
Single,Forbidden_Necromantic_Tome_285,17148,8.20%,
Single,Tovras_Lightning_Repository_275,17146,8.19%,
Single,Soleahs_Secret_Technique_Crit_288,17145,8.19%,
Single,Elegy_of_the_Eternals_291,17140,8.15%,
Single,Soleahs_Secret_Technique_Mastery_281,17138,8.14%,
Single,Deteriorated_Construct_Core_301,17134,8.11%,
Single,Soleahs_Secret_Technique_Haste_294,17134,8.11%,
Single,Fleshrenders_Meathook_281,17133,8.10%,
Single,Titanic_Ocular_Gland_278,17130,8.09%,
Single,Soleahs_Secret_Technique_Versatility_294,17126,8.06%,
Single,Tovras_Lightning_Repository_272,17125,8.06%,
Single,Soleahs_Secret_Technique_Crit_285,17119,8.02%,
Single,Unbound_Changeling_Haste_278,17118,8.01%,
Single,Soleahs_Secret_Technique_Haste_291,17110,7.96%,
Single,Dreadfire_Vessel_297,17108,7.95%,
Single,Grim_Eclipse_285,17106,7.94%,
Single,Fleshrenders_Meathook_278,17103,7.92%,
Single,Soleahs_Secret_Technique_Mastery_278,17100,7.90%,
Single,Deteriorated_Construct_Core_298,17098,7.88%,
Single,Soleahs_Secret_Technique_Versatility_291,17090,7.84%,
Single,Tovras_Lightning_Repository_268,17089,7.83%,
Single,Fleshrenders_Meathook_275,17085,7.80%,
Single,Soleahs_Secret_Technique_Mastery_275,17082,7.79%,
Single,Soleahs_Secret_Technique_Haste_288,17080,7.77%,
Single,Soleahs_Secret_Technique_Crit_281,17079,7.76%,
Single,Fleshrenders_Meathook_272,17073,7.73%,
Single,Glyph_of_Assimilation_278,17066,7.68%,
Single,Soleahs_Secret_Technique_Versatility_288,17066,7.68%,
Single,Soleahs_Secret_Technique_Mastery_272,17059,7.64%,
Single,Tovras_Lightning_Repository_265,17059,7.64%,
Single,Miniscule_Mailemental_in_an_Envelope_304,17057,7.63%,
Single,Tome_of_Monstrous_Constructions_278,17056,7.62%,
Single,Unbound_Changeling_Haste_272,17055,7.62%,
Single,Fleshrenders_Meathook_268,17055,7.61%,
Single,Resonant_Reservoir_304,17054,7.61%,
Single,Deteriorated_Construct_Core_294,17051,7.59%,
Single,Soleahs_Secret_Technique_Haste_285,17050,7.58%,
Single,Macabre_Sheet_Music_265,17049,7.58%,
Single,Corrupted_Starlight_298,17045,7.55%,
Single,Fleshrenders_Meathook_265,17043,7.54%,
Single,Soleahs_Secret_Technique_Crit_278,17043,7.54%,
Single,Tovras_Lightning_Repository_262,17041,7.53%,
Single,Soleahs_Secret_Technique_Versatility_285,17033,7.48%,
Single,Soul_Igniter_291,17030,7.46%,
Single,Forbidden_Necromantic_Tome_272,17030,7.46%,
Single,Architects_Ingenuity_Core_304,17029,7.45%,
Single,Miniscule_Mailemental_in_an_Envelope_301,17028,7.45%,
Single,Soleahs_Secret_Technique_Mastery_268,17027,7.44%,
Single,Titanic_Ocular_Gland_265,17025,7.43%,
Single,Fleshrenders_Meathook_262,17021,7.40%,
Single,Soleahs_Secret_Technique_Haste_281,17020,7.39%,
Single,Soleahs_Secret_Technique_Crit_275,17018,7.38%,
Single,Elegy_of_the_Eternals_278,17016,7.37%,
Single,Deteriorated_Construct_Core_291,17015,7.36%,
Single,Soleahs_Secret_Technique_Crit_272,17004,7.29%,
Single,Soleahs_Secret_Technique_Versatility_281,17003,7.29%,
Single,Caged_Horror_298,17002,7.28%,
Single,Miniscule_Mailemental_in_an_Envelope_298,16997,7.25%,
Single,Soleahs_Secret_Technique_Mastery_265,16996,7.24%,
Single,Soleahs_Secret_Technique_Haste_278,16987,7.19%,
Single,Ebonsoul_Vise_278,16980,7.14%,
Single,Grim_Eclipse_272,16975,7.11%,
Single,Soleahs_Secret_Technique_Versatility_278,16972,7.09%,
Single,Deteriorated_Construct_Core_288,16971,7.09%,
Single,Soleahs_Secret_Technique_Haste_275,16970,7.08%,
Single,Naraxas_Spiked_Tongue_20_yd_298,16969,7.07%,
Single,Soleahs_Secret_Technique_Mastery_262,16966,7.05%,
Single,Soleahs_Secret_Technique_Crit_268,16963,7.03%,
Single,Miniscule_Mailemental_in_an_Envelope_294,16958,7.00%,
Single,Dreadfire_Vessel_285,16958,7.00%,
Single,Miniscule_Mailemental_in_an_Envelope_291,16954,6.98%,
Single,Oakhearts_Gnarled_Root_298,16953,6.97%,
Single,Soleahs_Secret_Technique_Versatility_275,16950,6.95%,
