profile,actor,DPS,increase,
Single,Shadowed_Orb_of_Torment_252,11686,10.68%,
Single,Soulletting_Ruby_252,11623,10.08%,
Single,Soulletting_Ruby_249,11608,9.93%,
Single,Shadowed_Orb_of_Torment_239,11589,9.75%,
Single,Unbound_Changeling_All_252,11581,9.68%,
Single,Soulletting_Ruby_246,11577,9.64%,
Single,Soulletting_Ruby_242,11557,9.45%,
Single,Unbound_Changeling_All_249,11550,9.39%,
Single,Soulletting_Ruby_239,11534,9.23%,
Single,Empyreal_Ordnance_252,11533,9.23%,
Single,Moonlit_Prism_246,11530,9.20%,
Single,Unbound_Changeling_All_246,11517,9.07%,
Single,Empyreal_Ordnance_249,11511,9.02%,
Single,Soulletting_Ruby_236,11510,9.01%,
Single,Titanic_Ocular_Gland_252,11499,8.91%,
Single,Shadowed_Orb_of_Torment_226,11493,8.85%,
Single,Unbound_Changeling_All_242,11488,8.80%,
Single,Soulletting_Ruby_233,11486,8.78%,
Single,Empyreal_Ordnance_246,11484,8.76%,
Single,Unbound_Changeling_Mastery_252,11481,8.73%,
Single,Inscrutable_Quantum_Device_252,11476,8.68%,
Single,Soulletting_Ruby_229,11467,8.60%,
Single,Unbound_Changeling_Mastery_249,11465,8.58%,
Single,Unbound_Changeling_Haste_252,11461,8.55%,
Single,Inscrutable_Quantum_Device_249,11461,8.54%,
Single,Empyreal_Ordnance_242,11458,8.51%,
Single,Forbidden_Necromantic_Tome_259,11452,8.46%,
Single,Unbound_Changeling_All_239,11451,8.45%,
Single,Soulletting_Ruby_226,11441,8.35%,
Single,Inscrutable_Quantum_Device_246,11440,8.35%,
Single,Unbound_Changeling_Haste_249,11438,8.33%,
Single,Unbound_Changeling_Crit_252,11438,8.32%,
Single,Empyreal_Ordnance_239,11437,8.32%,
Single,Unbound_Changeling_All_236,11435,8.30%,
Single,Inscrutable_Quantum_Device_Only_Opener_252,11432,8.27%,
Single,Unbound_Changeling_Mastery_246,11432,8.27%,
Single,Soulletting_Ruby_223,11428,8.23%,
Single,Cabalists_Hymnal_Allies_4_233,11422,8.17%,
Single,Unbound_Changeling_Crit_249,11421,8.17%,
Single,Inscrutable_Quantum_Device_Only_Opener_249,11421,8.16%,
Single,Ebonsoul_Vise_252,11421,8.16%,
Single,Empyreal_Ordnance_236,11419,8.15%,
Single,Unbound_Changeling_Haste_246,11414,8.10%,
Single,Titanic_Ocular_Gland_239,11412,8.08%,
Single,Unbound_Changeling_All_233,11409,8.05%,
Single,Inscrutable_Quantum_Device_242,11404,8.00%,
Single,Empyreal_Ordnance_233,11402,7.99%,
Single,Cabalists_Hymnal_Allies_3_233,11402,7.99%,
Single,Tome_of_Monstrous_Constructions_252,11402,7.98%,
Single,Shadowed_Orb_of_Torment_213,11402,7.98%,
Single,Soulletting_Ruby_220,11402,7.98%,
Single,Unbound_Changeling_Mastery_242,11401,7.98%,
Single,Unbound_Changeling_Crit_246,11396,7.93%,
Single,Cabalists_Hymnal_Allies_2_233,11393,7.90%,
Single,Inscrutable_Quantum_Device_Only_Opener_246,11393,7.90%,
Single,Inscrutable_Quantum_Device_239,11389,7.86%,
Single,Unbound_Changeling_Haste_242,11384,7.82%,
Single,Energy_Siphon_226,11381,7.79%,
Single,Soulletting_Ruby_216,11380,7.78%,
Single,Empyreal_Ordnance_229,11376,7.73%,
Single,Unchained_Gladiators_Insignia_of_Alacrity_246,11374,7.72%,
Single,Unbound_Changeling_All_229,11374,7.72%,
Single,Unbound_Changeling_Mastery_239,11372,7.70%,
Single,Cabalists_Hymnal_Allies_1_233,11371,7.69%,
Single,Inscrutable_Quantum_Device_Only_Opener_242,11370,7.68%,
Single,Unbound_Changeling_Crit_242,11365,7.64%,
Single,Inscrutable_Quantum_Device_236,11365,7.63%,
Single,Forbidden_Necromantic_Tome_246,11364,7.63%,
Single,Soleahs_Secret_Technique_Mastery_233,11362,7.61%,
Single,Soulletting_Ruby_213,11361,7.60%,
Single,Unbound_Changeling_Haste_239,11359,7.58%,
Single,Infinitely_Divisible_Ooze_252,11358,7.57%,
Single,Cabalists_Hymnal_Allies_0_233,11357,7.56%,
Single,Necromantic_Focus_226,11357,7.56%,
Single,Unbound_Changeling_Mastery_236,11354,7.53%,
Single,Stormsinger_Fulmination_Charge_246,11354,7.53%,
Single,Macabre_Sheet_Music_226,11351,7.50%,
Single,Empyreal_Ordnance_226,11350,7.49%,
Single,Unbound_Changeling_All_226,11349,7.49%,
Single,Cabalists_Hymnal_Allies_4_220,11346,7.45%,
Single,Inscrutable_Quantum_Device_Only_Opener_239,11345,7.44%,
Single,Soleahs_Secret_Technique_Haste_233,11344,7.44%,
Single,Inscrutable_Quantum_Device_233,11343,7.43%,
Single,Soulletting_Ruby_209,11343,7.43%,
Single,Unbound_Changeling_Haste_236,11342,7.42%,
Single,Satchel_of_Misbegotten_Minions_252,11340,7.39%,
Single,Unbound_Changeling_Crit_239,11339,7.39%,
Single,Unchained_Gladiators_Badge_of_Ferocity_246,11337,7.37%,
Single,Unchained_Gladiators_Insignia_of_Alacrity_240,11334,7.34%,
Single,Infinitely_Divisible_Ooze_249,11334,7.34%,
Single,Cabalists_Hymnal_Allies_3_220,11332,7.32%,
Single,Living_Flame_226,11332,7.32%,
Single,Inscrutable_Quantum_Device_Only_Opener_236,11331,7.31%,
Single,Infernal_Writ_246,11330,7.31%,
Single,Empyreal_Ordnance_223,11329,7.30%,
Single,Titanic_Ocular_Gland_226,11328,7.29%,
Single,Unbound_Changeling_Mastery_233,11327,7.28%,
Single,Unbound_Changeling_All_223,11327,7.27%,
Single,Soleahs_Secret_Technique_Crit_233,11324,7.25%,
Single,Inscrutable_Quantum_Device_229,11321,7.22%,
Single,Scale_of_Fates_226,11319,7.20%,
Single,Unbound_Changeling_Crit_236,11318,7.19%,
Single,Unbound_Changeling_Haste_233,11315,7.16%,
Single,Empyreal_Ordnance_220,11315,7.16%,
Single,Cabalists_Hymnal_Allies_2_220,11311,7.12%,
Single,Satchel_of_Misbegotten_Minions_249,11310,7.11%,
Single,Unbound_Changeling_All_220,11307,7.09%,
Single,Inscrutable_Quantum_Device_Only_Opener_233,11307,7.08%,
Single,Infinitely_Divisible_Ooze_246,11306,7.08%,
Single,Unchained_Gladiators_Badge_of_Ferocity_240,11305,7.07%,
Single,Inscrutable_Quantum_Device_226,11305,7.06%,
Single,Sunblood_Amethyst_252,11305,7.06%,
Single,Ebonsoul_Vise_239,11302,7.04%,
Single,Unbound_Changeling_Mastery_229,11302,7.03%,
Single,Soul_Cage_Fragment_233,11301,7.03%,
Single,Soleahs_Secret_Technique_Mastery_226,11300,7.02%,
Single,Cabalists_Hymnal_Allies_1_220,11299,7.01%,
Single,Unbound_Changeling_Crit_233,11295,6.97%,
Single,Soleahs_Secret_Technique_Vers_233,11294,6.96%,
Single,Tome_of_Monstrous_Constructions_239,11293,6.95%,
Single,Unchained_Gladiators_Insignia_of_Alacrity_233,11292,6.94%,
Single,Empyreal_Ordnance_216,11291,6.94%,
Single,Tome_of_Insight_233,11287,6.90%,
Single,Sunblood_Amethyst_249,11287,6.90%,
Single,Forbidden_Necromantic_Tome_233,11287,6.89%,
Single,Instructors_Divine_Bell_210,11286,6.89%,
Single,Unbound_Changeling_Haste_229,11284,6.87%,
Single,Unbound_Changeling_Mastery_226,11284,6.87%,
Single,Cabalists_Hymnal_Allies_0_220,11283,6.86%,
Single,Eye_of_the_Broodmother_226,11282,6.85%,
Single,Inscrutable_Quantum_Device_223,11282,6.85%,
Single,Unbound_Changeling_All_216,11282,6.85%,
Single,Satchel_of_Misbegotten_Minions_246,11282,6.85%,
Single,Soleahs_Secret_Technique_Haste_226,11281,6.84%,
Single,Inscrutable_Quantum_Device_Only_Opener_229,11280,6.83%,
Single,Empyreal_Ordnance_213,11276,6.79%,
Single,Infinitely_Divisible_Ooze_242,11276,6.79%,
Single,Macabre_Sheet_Music_213,11276,6.79%,
Single,Unbound_Changeling_Haste_226,11276,6.79%,
Single,Elemental_Focus_Stone_226,11274,6.78%,
Single,Pandoras_Plea_226,11273,6.76%,
Single,Cabalists_Hymnal_Allies_4_207,11270,6.74%,
Single,Unbound_Changeling_Crit_229,11269,6.72%,
Single,Glyph_of_Assimilation_226,11269,6.72%,
Single,Instructors_Divine_Bell_207,11268,6.72%,
Single,Inscrutable_Quantum_Device_220,11268,6.71%,
Single,Inscrutable_Quantum_Device_Only_Opener_226,11267,6.70%,
Single,Sunblood_Amethyst_246,11265,6.69%,
Single,Soleahs_Secret_Technique_Crit_226,11265,6.68%,
Single,Unbound_Changeling_Mastery_223,11264,6.68%,
Single,Unchained_Gladiators_Badge_of_Ferocity_233,11263,6.67%,
Single,Satchel_of_Misbegotten_Minions_242,11259,6.63%,
Single,Unchained_Gladiators_Insignia_of_Alacrity_226,11255,6.59%,
Single,Infinitely_Divisible_Ooze_239,11254,6.59%,
Single,Unbound_Changeling_All_213,11254,6.58%,
Single,Cabalists_Hymnal_Allies_3_207,11251,6.56%,
Single,Titanic_Ocular_Gland_213,11250,6.54%,
Single,Unbound_Changeling_Haste_223,11248,6.52%,
Single,Unbound_Changeling_Crit_226,11247,6.52%,
Single,Empyreal_Ordnance_209,11247,6.52%,
Single,Flare_of_the_Heavens_226,11247,6.52%,
Single,Inscrutable_Quantum_Device_Only_Opener_223,11246,6.51%,
Single,Unbound_Changeling_Mastery_220,11245,6.50%,
Single,Instructors_Divine_Bell_203,11241,6.46%,
Single,Tome_of_Insight_226,11240,6.45%,
Single,Sunblood_Amethyst_242,11240,6.45%,
Single,Soleahs_Secret_Technique_Vers_226,11240,6.45%,
Single,Cabalists_Hymnal_Allies_2_207,11240,6.45%,
Single,Flame_of_Battle_210,11238,6.43%,
Single,The_Skull_of_Guldan_226,11237,6.42%,
Single,Inscrutable_Quantum_Device_216,11237,6.42%,
Single,Unbound_Changeling_Haste_220,11232,6.38%,
Single,Unbound_Changeling_All_209,11232,6.37%,
Single,Spiritual_Alchemy_Stone_230,11231,6.37%,
Single,Inscrutable_Quantum_Device_Only_Opener_220,11231,6.37%,
Single,Satchel_of_Misbegotten_Minions_239,11230,6.35%,
Single,Wakeners_Frond_210,11229,6.35%,
Single,Sunblood_Amethyst_239,11229,6.34%,
Single,Inscrutable_Quantum_Device_213,11229,6.34%,
Single,Cabalists_Hymnal_Allies_1_207,11228,6.34%,
Single,Unbound_Changeling_Crit_223,11228,6.33%,
Single,Ascended_Defenders_Crest_210,11226,6.32%,
Single,Infinitely_Divisible_Ooze_236,11225,6.31%,
Single,Unchained_Gladiators_Badge_of_Ferocity_226,11224,6.30%,
Single,Instructors_Divine_Bell_198,11223,6.29%,
Single,Cabalists_Hymnal_Allies_0_207,11218,6.24%,
Single,Flame_of_Battle_207,11217,6.23%,
Single,Unbound_Changeling_Mastery_216,11217,6.23%,
Single,Forbidden_Necromantic_Tome_220,11216,6.22%,
Single,Unchained_Gladiators_Insignia_of_Alacrity_220,11216,6.22%,
Single,Unbound_Changeling_Crit_220,11214,6.21%,
Single,Tome_of_Insight_220,11214,6.21%,
Single,Wakeners_Frond_207,11214,6.20%,
Single,Sunblood_Amethyst_236,11213,6.19%,
Single,Satchel_of_Misbegotten_Minions_236,11213,6.19%,
Single,Macabre_Sheet_Music_200,11211,6.17%,
Single,Inscrutable_Quantum_Device_209,11210,6.16%,
Single,Dreadfire_Vessel_233,11209,6.16%,
Single,Overflowing_Anima_Prison_252,11209,6.15%,
Single,Inscrutable_Quantum_Device_Only_Opener_216,11206,6.13%,
Single,Ascended_Defenders_Crest_207,11206,6.13%,
Single,Ebonsoul_Vise_226,11205,6.12%,
Single,Book_Borrower_Identification_210,11205,6.12%,
Single,Infinitely_Divisible_Ooze_233,11204,6.11%,
Single,Unbound_Changeling_Haste_216,11204,6.11%,
